SL NO. ,FIRNO,POLICE STATION ,U/S ,DATE ,OFFENDING VEHICLE ,VICTIMS ,PLACE OF OCCURANCE,ROAD NAME,YEAR
774,1,KAROL BAGH,279/337 IPC,01-Jan-20,UNKNOWN,PED,NR KOLMET HOSPITAL PUSA RD,PUSA ROAD,2020
786,1,MANDIR MARG,279/337 IPC,02-Jan-16,S/C&M/C,TWW,MANDIR MARK T POINT P K ROAD D,PANCHKUIAN ROAD,2016
1009,1,RAJENDER NAGAR,279 IPC,01-Jan-17,PVT CAR,CAR,NR HNO R-655 RAJENDER NAGAR,MINOR ROADS,2017
1069,1,DELHI CANNT,279/337 IPC,01-Jan-16,TEMPO,TMP,IOC RED LIGHT DELHI CANTT,201 NO.ROAD,2016
1193,1,DELHI CANNT,279/304 A IPC,01-Jan-17,PVT CAR,HDC,NR IOC RED LIGHT DWARKA RD,201 NO.ROAD,2017
1487,1,DELHI CANNT,279/337 IPC,03-Jan-20,UNKNOWN,PED,RING ROAD DHAULA KUAN,RING ROAD,2020
1810,1,DWARKA,279/337 IPC,01-Jan-19,PVT CAR,CYC,I/F VARDHMAN MALL SEC.19,201 NO.ROAD,2019
2214,1,DWARKA SOUTH,279/337 IPC,01-Jan-16,BUS OTR,CAR,RED LIGHT SPORT COMPLEX SEC-11,MINOR ROADS,2016
3155,1,GAJI PUR,279/304 A IPC,01-Jan-17,UNKNOWN,PED,NR PARK IN HOTEL NR P PUMP,NH-24,2017
3255,1,GAJI PUR,279/337 IPC,01-Jan-19,UNKNOWN,TWW,NR CNG PUMP GAZIPUR,NH-24,2019
3669,1,JAGAT PURI,279/337 IPC,01-Jan-19,UNKNOWN,TWW,NR KADKARI MORE,MINOR ROADS,2019
3865,1,KRISHNA NAGAR,279/337 IPC,02-Jan-17,TEMPO,PED,INF ALLAHABAD BANK KANTI NAGAR,57 NO ROAD,2017
3983,1,LAXMI NAGAR (SHAKAR PUR),279/304 A IPC,01-Jan-17,PVT CAR,TWW,ITO TWDS LAXMI NAGAR NR GEETA,VIKAS MARG,2017
4197,1,MADHU VIHAR,279/337 IPC,01-Jan-18,UNKNOWN,TWW,OPP. CNG PUMP IP EXTENTION,MINOR ROADS,2018
4227,1,MADHU VIHAR,279/304 A IPC,01-Jan-19,UNKNOWN,PED,NR HASANPUR DEPOT,ROAD NO 57,2019
4257,1,MADHU VIHAR,279/337 IPC,02-Jan-20,PVT CAR,PED,INF SAI MANDIR NR KHICHDI PUR,MINOR ROADS,2020
4639,1,NEW ASHOK NAGAR,279/304 A IPC,01-Jan-17,PVT CAR,TWW,RED LIGHT NR BHARTI PUBLIC SCL,MINOR ROADS,2017
4742,1,NEW ASHOK NAGAR,279/337 IPC,02-Jan-19,MIN.BUS,TWW,INF TRIVENI APTT VASHUNDRA,MINOR ROADS,2019
5204,1,SHAKAR PUR (NEW),279/338 IPC,02-Jan-19,DTC BUS,PED,LAXMI NAGAR RED LIGHT,VIKAS MARG,2019
5484,1,BARAKHAMBA ROAD,279/337 IPC,01-Jan-18,PVT CAR,TWW,MANDI HOUSE CIRCLE,MINOR ROADS,2018
5494,1,BARAKHAMBA ROAD,279/337 IPC,06-Jan-19,UNKNOWN,TWW,NR RANJEET SINGH FLYOVER,TOLSTOY MARG,2019
5502,1,BARAKHAMBA ROAD,279/337 IPC,16-Jan-20,PVT CAR,CAR,KG MARG CROSSING,TOLSTOY MARG,2020
5511,1,CHANAKYA PURI,279/338 IPC,01-Jan-16,PVT CAR,PED,CHANAKYA PURI VESHNO DEVI KALI,VINAY MARG,2016
5621,1,CHANAKYA PURI,279/337 IPC,05-Jan-19,S/C&M/C,PED,POLICE PICKET RIDGE ROAD,RIDGE ROAD,2019
5748,1,CONNAUGHT PLACE,279/304 A IPC,03-Jan-19,UNKNOWN,PED,OUTER CC CONNAUGHT PLACE G B,OUTER CIRCLE CP,2019
5767,1,CONNAUGHT PLACE,279/337 IPC,06-Jan-20,HTV/GDS,TWW,"NR MALIK SWEET, REGAL BUILDING",HANUMAN ROAD,2020
5851,1,MANDIR MARG,279/304 A IPC,04-Jan-17,UNKNOWN,TWW,NR JAIN HAPPY SCL G.M KT DELHI,MINOR ROADS,2017
5936,1,NORTH AVENUE,279/304 A IPC,01-Jan-16,UNKNOWN,TWW,NR DTC BUS STOP PARKT STREET,MINOR ROADS,2016
6052,1,PARLIAMENT STREET,279/337 IPC,01-Jan-16,PVT CAR,TWW,NR FAKHRUDDIN ALI AHMED MAZAR,RED CROSS ROAD,2016
6092,1,PARLIAMENT STREET,279/337 IPC,05-Jan-17,TAXI,TWW,FIRZSAH RD LIGHT KOTHI NO 18 N,KASTURBA GANDHI MARG,2017
6113,1,PARLIAMENT STREET,279/304 A IPC,03-Jan-20,CTR BUS,PED,PATEL CHOWK ROUND ABOUT,ASHOKA ROAD,2020
6168,1,SOUTH AVENUE,279/337 IPC,12-Feb-20,PVT CAR,TSR,BUNGLOW NO. 12 SUNEHARI BAGH,MINOR ROADS,2020
6179,1,TILAK MARG,279/337 IPC,02-Jan-17,UNKNOWN,PED,W-POINT UNDER METRO LINE,MINOR ROADS,2017
6202,1,TILAK MARG,279/337 IPC,01-Jan-16,TAXI,TWW,INDIA GATE CIRCLE NR ZAKIR HUS,C-HEXAGON,2016
6305,1,TILAK MARG,279/337 IPC,02-Jan-18,TEMPO,TWW,NR PRAGATI POWER STATION,RING ROAD,2018
6460,1,TUGLAK ROAD,279/337 IPC,08-Jan-18,PVT CAR,TWW,R/L SAFDARJUNG RD,SAFDARJUNG ROAD,2018
6491,1,TUGLAK ROAD,279/337 IPC,03-Jan-20,PVT CAR,TWW,R/L DR APJ ROAD,SAFDARJUNG ROAD,2020
6517,1,BARA HINDU RAO,279/337 IPC,03-Jan-18,S/C&M/C,TWW,INF SHOP NO 7284 BRIGHT CARPET,MINOR ROADS,2018
6607,1,CIVIL LINES,279/304 A IPC,01-Jan-17,TAXI,PED,RED LIGHT GURUDWARA MAJNU KA T,OUTER RING ROAD,2017
6898,1,GULABI BAGH,279/304 A IPC,11-Jan-19,HTV/GDS,TWW,GULABI BAGH RED LIGHT,MINOR ROADS,2019
7218,1,KASHMIRI GATE,279/337 IPC,01-Jan-19,UNKNOWN,PED,N/R HANUMAN MANDIR,RING ROAD,2019
7643,1,MAURICE NAGAR,279/304 A IPC,02-Jan-19,UNKNOWN,TWW,VILLA 21/33 MALL ROAD NEAR UNI,RING ROAD,2019
7666,1,MAURICE NAGAR,279/337 IPC,03-Jan-20,CTR BUS,TWW,DU METRO STN,RING ROAD,2020
7782,1,SABZI MANDI,279/337 IPC,01-Jan-17,S/C&M/C,PED,GALI OPP Q BLOCK MALKA GANJ NR,MALKA GANJ ROAD,2017
8355,1,TIMAR PUR,279/304 A IPC,02-Jan-20,UNKNOWN,TWW,WAZIRABAD BRIDGE OUTER RING RD,DR. KB HEDGEWAR ROAD,2020
8489,1,DAYAL PUR,279/304 A IPC,01-Jan-19,UNKNOWN,PED,"DAYALPUR BUS STAND, NR WATER T",MINOR ROADS,2019
8830,1,GTB ENCLAVE,279/337 IPC,01-Jan-20,PVT CAR,TWW,GTB HOSPITAL GATE NO 12,MINOR ROADS,2020
9128,1,KHAZOORI,279/337 IPC,02-Jan-16,TRACTOR,TWW,CHAND BAGH PULIYA TWS SHERPUR,MINOR ROADS,2016
9816,1,NEW USHMAN PUR,279/337 IPC,01-Jan-17,S/C&M/C,PED,SHASTRI PARK INFT THEKA,GRANT TRUNK ROAD,2017
10441,1,SHAHDARA,279/337/304 A IPC,01-Jan-19,TRACTOR,PED,BUS TERMINAL SHAHDARA,GRANT TRUNK ROAD,2019
10465,1,SHASTRI PARK,279/337 IPC,01-Jan-19,UNKNOWN,PED,S PARK TO KHAJURI CHOWK,MINOR ROADS,2019
10937,1,ADARSH NAGAR,279/337 IPC,03-Jan-17,HTV/GDS,PED,BELOW FLYOVER AZADPUR,GTK ROAD,2017
10995,1,ADARSH NAGAR,279/337 IPC,01-Jan-18,TAXI,CYC,OPP POLICE PKT RD WAY TO MUKUN,MINOR ROADS,2018
11685,1,ASHOK VIHAR,279/304 A IPC,02-Jan-20,PVT CAR,TWW,RICHI RICH BUS STAND,RING ROAD,2020
12190,1,BURARI,279/304 A IPC,01-Jan-18,TEMPO,TWW,ON BURARI FLYOVER,OUTER RING ROAD,2018
12734,1,KESHAV PURAM,279/304 A IPC,01-Jan-17,UNKNOWN,TWW,NR PREMBARI PUL KESHAVPURAM RD,37 NO ROAD,2017
12890,1,MAHENDRA PARK,279/337 IPC,01-Jan-16,S/C&M/C,TWW,MANGAL BAZAR RD JHANGIR PURI D,MINOR ROADS,2016
13105,1,METRO SUBHASH PLACE,279/304 A IPC,22-Jan-18,S/C&M/C,SLF,NR PARKING GATE METRO INDERLOK,MINOR ROADS,2018
13553,1,NARELA (OLD IND. AREA),279/337 IPC,01-Jan-16,GRM.SEW,PED,80 FUTA RD TWS GT ROAD NARELA,MINOR ROADS,2016
13763,1,NARELA (OLD IND. AREA),279/304 A IPC,01-Jan-19,UNKNOWN,PED,INF BG SIRKE COMPANY A-5,MINOR ROADS,2019
14079,1,SAMAY PUR BADLI,279/337 IPC,03-Jan-19,PVT CAR,CAR,NEAR SIRASPUR GURUDWARA,GTK ROAD,2019
14266,1,SARASWATI VIHAR(SUBHASH PLACE),279/304 A IPC,04-Jan-19,UNKNOWN,PED,PREAM BADIPUL UNDER PASS,RING ROAD,2019
14496,1,SWAROOP NAGAR,279/337 IPC,01-Jan-18,UNKNOWN,PED,INF BHALSWA DAIRY BURARI,BURARI ROAD,2018
14623,1,TIMAR PUR,279/337 IPC,01-Jan-17,UNKNOWN,CAR,GOPAL PUR RED LIGHT,OUTER RING ROAD,2017
14963,1,AMAN VIHAR,279/337 IPC,03-Jan-20,UNKNOWN,PED,AGRASEN HOSPITAL,MINOR ROADS,2020
15604,1,K.N.KATJU MARG,279/337 IPC,01-Jan-19,PVT CAR,TWW,BABA BALAK NATH MANDIR,MINOR ROADS,2019
16315,1,MAURYA ENCLAVE,279/304 A IPC,01-Jan-17,UNKNOWN,PED,NR VIPS COLLEGE T POINT OUTER,OUTER RING ROAD,2017
16768,1,RANI BAGH,279/338 IPC,07-Jan-17,UNKNOWN,TWW,NR DEEPALI CHOWK RED LIGHT,OUTER RING ROAD,2017
16912,1,ROHINI NORTH,279/304 A IPC,01-Jan-16,PVT CAR,PED,INF SAROJ HOSPITAL SEC 14 ROHI,41 NO ROAD,2016
17020,1,ROHINI SOUTH,279/337 IPC,04-Jan-20,PVT CAR,PED,"NR MALIK BOOK, SEC-3, ROHINI",MINOR ROADS,2020
17134,1,SARASWATI VIHAR(SUBHASH PLACE),279/338 IPC,02-Jan-17,S/C&M/C,PED,INF MAX HOSPITAL FLYOVER TWDS,41 NO ROAD,2017
17553,1,SHALIMAR BAGH,279/337 IPC,02-Jan-17,PVT CAR,TWW,BADLI MORE NR METRO PIL NO 202,OUTER RING ROAD,2017
18669,1,HAZRAT NIZAMUDDIN,279/337 IPC,02-Jan-19,TAXI,CAR,SHAMSHAN GHAT LALA LAJPAT RAI,LALA LAJPAT RAI PATH,2019
19231,1,MALVIYA NAGAR,279/338 IPC,01-Jan-18,PVT CAR,PED,NEAR GUPTA COLONY,MINOR ROADS,2018
19901,1,SAKET,279/337 IPC,01-Jan-17,PVT CAR,CYC,NR GATE NO 3 ARMY CAMP,MEHRAULI BADARPUR RD,2017
20102,1,SAROJNI NAGAR,279/304 A IPC,02-Jan-19,UNKNOWN,PED,UNDER AIIMS FLYOVER ARVINDO MA,AUROBINDO MARG,2019
20199,1,SAROJNI NAGAR,279/337 IPC,01-Jan-20,TAXI,DTC,SAROJINI NAGR BUS DEPOT,AFRICA AVENUE,2020
20585,1,VASANT VIHAR,279/304 A IPC,01-Jan-16,UNKNOWN,TWW,BABA GANG NATH MARG NR,BABA GANG NATH MARG,2016
20862,1,AMAR COLONY,279/337 IPC,01-Jan-18,PVT CAR,SLF,OPP OKHLA MANDI CAPT GAUR MARG,MINOR ROADS,2018
21217,1,CHITRANJAN PARK,279/304 A IPC,02-Jan-17,MIN.BUS,CYC,NR CHIRAG DELHI,OUTER RING ROAD,2017
21279,1,DEFENCE COLONY,279/337 IPC,01-Jan-16,PVT CAR,TWW,DCP TRAFFIC OFFIC T NR PETROL,JOSEP BROZ TITO MARG,2016
21806,1,HAZRAT NIZAMUDDIN,279/337 IPC,02-Jan-16,UNKNOWN,TWW,BARAPULLA FLYOVER NIZAMUDIN TO,RING ROAD,2016
21885,1,HAZRAT NIZAMUDDIN,279/337 IPC,01-Jan-20,UNKNOWN,TWW,UNDER BARAPULA FLYOVER,MINOR ROADS,2020
22438,1,KALKAJI,279/337 IPC,03-Jan-20,S/C&M/C,PED,"NR P/PUMP, NEHRU PLACE",OUTER RING ROAD,2020
22464,1,LAJPAT NAGAR,279/337 IPC,01-Jan-16,DTC BUS,PED,MOOLCHAND FLY OVER L NAGAR 3RD,RING ROAD,2016
22690,1,NEW FRIENDS COLONY,279/337 IPC,01-Jan-16,UNKNOWN,PED,BETWEEN GATE NO 2 AND 3 TWD AS,MATHURA ROAD,2016
23014,1,OKHLA,279/337 IPC,01-Jan-18,HTV/GDS,CAR,OPP HONDA SHOWROOM RED LIGHT,ANAND MAI MARG,2018
23096,1,OKHLA,279/337 IPC,01-Jan-19,PVT CAR,PED,I/F A229 OKHLA PH-I NW DELHI,ANAND MAI MARG,2019
23144,1,OKHLA,279/337/304 A IPC,04-Jan-20,PVT CAR,SLF,IN B/W GOVINDPURI M/STN TO KAL,ANAND MAI MARG,2020
23264,1,PUL PRAHLAD PUR,279/337 IPC,01-Jan-18,HTV/GDS,TWW,INF VARNDVAN RESTAURENT SURAJ,SURAJ KUND ROAD,2018
23306,1,PUL PRAHLAD PUR,279/304 A IPC,01-Jan-19,UNKNOWN,TWW,OUT GATE ICD MAIN MB ROAD,MEHRAULI BADARPUR RD,2019
23336,1,PUL PRAHLAD PUR,279/304 A IPC,01-Jan-20,UNKNOWN,PED,INF PS PUL PRAHLAD PUR,MEHRAULI BADARPUR RD,2020
23651,1,SARITA VIHAR,279 IPC,01-Jan-18,TAXI,CAR,NR LIVING STYLE MALL,13A NO ROAD,2018
23953,1,SUNLIGHT COLONY,279/304 A IPC,01-Jan-17,HTV/GDS,TWW,UNDER SARAI KALAI KHAN F/O,RING ROAD,2017
24143,1,SUNLIGHT COLONY,279/304 A IPC,02-Jan-20,UNKNOWN,TWW,BARAPULLA ELEVATED RD TWDS DND,NOIDA DND ROAD,2020
24263,1,BABA HARIDAS NAGAR,279/304 A IPC,01-Jan-17,UNKNOWN,TWW,OPP. MCD SCL MITRAOW VILL.,DANSHA ROAD,2017
24307,1,BABA HARIDAS NAGAR,279/337 IPC,02-Jan-18,UNKNOWN,PED,NR BABA HARIDAS PARKING NAJAFG,MINOR ROADS,2018
24605,1,CHHAWALA,279/338 IPC,01-Jan-17,TRACTOR,TWW,CHAWALA GAON NR SHAINI MANDIR,CHHAWLA ROAD,2017
25811,1,UTTAM NAGAR,279/304 A IPC,01-Jan-17,UNKNOWN,PED,UTTAM NAGAR,NAJAF GARH ROAD,2017
25864,1,UTTAM NAGAR,279/337 IPC,01-Jan-18,UNKNOWN,TWW,NR PILAR NO.668 UTAM NAGAR,NAJAF GARH ROAD,2018
26022,1,VASANT KUNJ SOUTH,279/304 A IPC,01-Jan-18,UNKNOWN,PED,NEAR SHIV MURTI,NH-8,2018
26082,1,VIKAS PURI,279/304 A IPC,01-Jan-16,PVT CAR,PED,INF DISTT CENTER VIKAS PURI DE,NAJAF GARH ROAD,2016
26163,1,VIKAS PURI,279/337 IPC,01-Jan-17,PVT CAR,PED,NR JHUGGI SHANKAR GARDEN,VIKAS PURI ROAD,2017
27068,1,JANAK PURI,279/304 A IPC,01-Jan-16,PVT CAR,TWW,T-POINT MOTA SINGH MARG LAL SA,MINOR ROADS,2016
27374,1,KIRTI NAGAR,279/337/304 A IPC,01-Jan-17,TEMPO,TAX,INF INDERIO SHOWROOM KIRTI NAG,RAMA ROAD,2017
27512,1,MAYA PURI,279/304 A IPC,01-Jan-17,UNKNOWN,TWW,NR D-1-7 D BLK SAGARPUR DELHI,RAMA ROAD,2017
27841,1,MOTI NAGAR,279/337 IPC,02-Jan-19,PVT CAR,TWW,INF OF MOVEMENT MALL M NGR,PATEL ROAD,2019
27927,1,MOTI NAGAR,279/304 A IPC,04-Jan-18,UNKNOWN,PED,NEAR RED LIGHT RAMESH NAGAR,NAJAF GARH ROAD,2018
28094,1,MUNDKA,279/337/304 A IPC,01-Jan-18,PVT CAR,PED,NEAR GHEWRA MORE,ROHTAK ROAD,2018
28280,1,MUNDKA,279/337 IPC,01-Jan-20,HTV/GDS,TWW,"METRO P.NO. 534, NR MUNDKA MET",ROHTAK ROAD,2020
30250,1,RANJIT NAGAR,279/304 A IPC,01-Jan-20,HTV/GDS,TWW,METRO PILAR NO 200 PATEL ROAD,PATEL ROAD,2020
70,2,DARYA GANJ,279/337 IPC,02-Jan-17,UNKNOWN,DLV,GEETA COLONY F/O NR RAJ GHAT,MINOR ROADS,2017
127,2,DARYA GANJ,279/337 IPC,03-Jan-18,BUS OTR,AMB,DELHI GATE R/L,JAWAR LAL NEHRU RD,2018
1070,2,DELHI CANNT,279/304 A IPC,02-Jan-16,PVT CAR,SLF,RIDGE ROAD METRO PILLOR NO. 68,RIDGE ROAD,2016
1194,2,DELHI CANNT,279/337 IPC,02-Jan-17,UNKNOWN,PED,NR IOC RED LIGHT NR METRO STN,201 NO.ROAD,2017
1280,2,DELHI CANNT,279/337 IPC,09-Jan-18,PVT CAR,TWW,STATION ROAD DELHI CANTT,STATION ROAD,2018
1392,2,DELHI CANNT,279/337 IPC,01-Jan-19,UNKNOWN,TWW,NEAR PRAHLADPUR VILLAGE,201 NO.ROAD,2019
1610,2,DELHI CANNT,279/337 IPC,04-Jan-20,PVT CAR,CAR,UNDERPASS INF DOMESTIC AIRPORT,AIR PORT ROAD,2020
1648,2,DWARKA,279/338 IPC,01-Jan-16,S/C&M/C,PED,INF PRESIDIUM SCHOOL DWARKA DH,MINOR ROADS,2016
2167,2,DWARKA NORTH,279/337 IPC,01-Jan-20,PVT CAR,TWW,CRESENT CHOWK SEC-17/18 DWAKA,MINOR ROADS,2020
2311,2,DWARKA SOUTH,279/337 IPC,01-Jan-17,UNKNOWN,TWW,DTC DEPOT SEC-2 DWARKA DELHI,MINOR ROADS,2017
2772,2,VASANT KUNJ SOUTH,279/337 IPC,02-Jan-17,S/C&M/C,SLF,OPP SHIV MURTI GURGAON MAHIPAL,NH-8,2017
3020,2,FARSH BAZAR,279/337 IPC,01-Jan-16,UNKNOWN,TWW,60FT RD NR KARAN GALI VISHWAS,MINOR ROADS,2016
3098,2,GAJI PUR,279/337 IPC,01-Jan-16,TSR,CYR,SABJI MANDI GHAZIPUR,NH-24,2016
3402,2,GANDHI NAGAR,279/337 IPC,02-Jan-16,S/C&M/C,PED,TIKONA PARK MOTHER DAIRY BOOTH,MINOR ROADS,2016
3826,2,KALYAN PURI,279/337 IPC,02-Jan-20,PVT CAR,TWW,"OPP. EAST VINOD NAGAR,GURUDWAR",NH-24,2020
4228,2,MADHU VIHAR,279/337 IPC,04-Jan-19,S/C&M/C,PED,NEAR BUS STAND HASAN PUR,ROAD NO 57,2019
4370,2,MANDAWLI,279/337 IPC,02-Jan-17,HTV/GDS,TWW,MOTHER DAIRY t-POINT PANDAV NG,PATPAR GANJ ROAD,2017
4425,2,MAYUR VIHAR,279/337/304 A IPC,01-Jan-16,UNKNOWN,TWW,FLYOVER NR CROWN PLAZA HOTEL M,YAMUNA PUSTA ROAD,2016
5120,2,PREET VIHAR,279/337 IPC,05-Jan-17,PVT CAR,TWW,HERBAL PARK NAGRAJ MARG T- POI,MINOR ROADS,2017
5205,2,SHAKAR PUR (NEW),279/337 IPC,02-Jan-19,PVT CAR,TWW,NEAR LAXMI NAGAR RED LIGHT MET,VIKAS MARG,2019
5242,2,SHAKAR PUR (NEW),279/304 A IPC,02-Jan-20,TSR,TWW,NR YAMUNA B ANK METRO DEPO SHA,YAMUNA PUSTA ROAD,2020
5545,2,CHANAKYA PURI,279/337/304 A IPC,01-Jan-17,UNKNOWN,TWW,INF BUDHA GARDEN,MINOR ROADS,2017
5661,2,CHANAKYA PURI,279/337 IPC,10-Jan-20,PVT CAR,PED,NEAR RAILWAY OFFICER ENCLAVE,SAN MARTIN MARG,2020
5898,2,MANDIR MARG,279/337/304 A IPC,04-Jan-19,PVT CAR,TWW,NEAR NP SCHOOL MANDIR MARG,MINOR ROADS,2019
5916,2,MANDIR MARG,279/337/304 A IPC,04-Jan-20,PVT CAR,TWW,BANGLA SWEET HOUSE R/A,BANGLA SAHIB MARG,2020
5937,2,NORTH AVENUE,279/337 IPC,05-Jan-16,S/C&M/C,TWW,ROUND ABOUT RML HOSPITAL,MINOR ROADS,2016
6152,2,SOUTH AVENUE,279/337 IPC,20-Feb-20,TSR,PED,NR SOUTH AVENUE SENA BHAWAN,MINOR ROADS,2020
6200,2,TILAK MARG,279/304 A IPC,02-Jan-20,BUS OTR,TWW,W POINT NR PRAGATI MAIDAN METR,MINOR ROADS,2020
6402,2,TUGLAK ROAD,279/337/304 A IPC,11-Jan-19,BUS OTR,CYC,"NR Q-POINT, PRITHVIRAJ RD",PRITHIVI RAJ ROAD,2019
6408,2,TUGLAK ROAD,279/337 IPC,06-Jan-16,TAXI,TWW,OPP PARKING KHAN MARKET NEW DE,SUBRAMANIAM BHARTI MG,2016
6433,2,TUGLAK ROAD,279/337 IPC,12-Jan-17,S/C&M/C,TWW,INF KOTHI NO 6 LODHI ESTATE,SUBRAMANIAM BHARTI MG,2017
6505,2,BARA HINDU RAO,279/304 A IPC,21-Jan-17,S/C&M/C,SLF,AZAD MKT RED LIGHT TO PUL BANG,RANI JHANSI ROAD,2017
6720,2,CIVIL LINES,279/304 A IPC,01-Jan-19,S/C&M/C,PED,I/F MONESTERY MRKT. OUTER RING,YAMUNA MARG,2019
7346,2,KOTWALI,279/337 IPC,01-Jan-18,PVT CAR,TWW,NR JAMA MASJID BUS STAND,N.SUBHASH MARG,2018
7747,2,ROOP NAGAR,279/338 IPC,05-Jan-20,UNKNOWN,TWW,UNDER PASS ROSHANARA BAGH,MINOR ROADS,2020
7783,2,SABZI MANDI,279/337 IPC,02-Jan-17,HTV/GDS,TWW,NR PIRAMID HOTEL ROSHAN ARA RD,ROSHANARA ROAD,2017
7945,2,SARAI ROHILA,279/304 A IPC,02-Jan-17,TSR,PED,NR METRO PILL NO 187 SHASTRI N,MINOR ROADS,2017
8007,2,SARAI ROHILA,279/337 IPC,01-Jan-18,UNKNOWN,PED,PIL NO 184 NR WINE SHOP,ROAD NO 40,2018
8300,2,TIMAR PUR,279/337 IPC,03-Jan-19,UNKNOWN,PED,UNDE WAZIRABAD FLYOVER,OUTER RING ROAD,2019
9189,2,KHAZOORI,279/337 IPC,02-Jan-17,PVT CAR,PED,NR SHIV PLKACE NEHRU VIHAR,MINOR ROADS,2017
9358,2,KHAZOORI,279/337 IPC,01-Jan-20,S/C&M/C,CYR,NR WATER TREATMENT PLANT,WAZIRABAD ROAD,2020
10354,2,SEEMA PURI,279/304 A IPC,01-Jan-20,UNKNOWN,TWW,UNDERPASS APSARA BORDER,GRANT TRUNK ROAD,2020
10724,2,SONIA VIHAR,279/337 IPC,02-Jan-20,HTV/GDS,CYC,NR LAXMI DHARMA KANTA,MINOR ROADS,2020
11540,2,ALIPUR,279/337 IPC,02-Jan-20,UNKNOWN,TWW,"PALLA BAKHTAWARPUR RD, BAKOLI",MINOR ROADS,2020
11700,2,BHALASWA DAIRY,279/337 IPC,01-Jan-16,PVT CAR,SLF,MUKUNDPUR SE BHALSWA RD INF OF,MINOR ROADS,2016
11850,2,BHALASWA DAIRY,279/337 IPC,02-Jan-20,TAXI,TWW,"NR RAM RAHIM CHOWK, BHALSWA CH",MINOR ROADS,2020
12849,2,MAHENDRA PARK,279/337 IPC,02-Jan-17,PVT CAR,PED,NR F/O KABRISTAN,GTK ROAD,2017
13004,2,MAHENDRA PARK,279/337/304 A IPC,05-Jan-19,PVT CAR,PED,"H.NO I-1000,NR KHTTA JAHANGIRU",MINOR ROADS,2019
13150,2,MODEL TOWN,279/337 IPC,05-Jan-17,S/C&M/C,PED,INF WINE SHOP GTK RD,GTK ROAD,2017
14136,2,SARASWATI VIHAR(SUBHASH PLACE),279/337 IPC,01-Jan-16,UNKNOWN,TWW,NR JHULELAL APPT PITAMPURA DLE,44 NO ROAD,2016
14218,2,SARASWATI VIHAR(SUBHASH PLACE),279/337 IPC,02-Jan-18,CRANE,PED,BRITANIA BUS STOP NR CNG P PUM,MINOR ROADS,2018
14774,2,WAZIRABAD,279/304 A IPC,02-Jan-20,HTV/GDS,PED,NR RADHA KRISHNA MANDIR JAGATP,MINOR ROADS,2020
15165,2,BAWANA,279/337 IPC,03-Jan-19,DTC BUS,CAR,NR NANGAL BAWANA,MINOR ROADS,2019
17423,2,SHAHBAD DAIRY,279/337 IPC,02-Jan-19,UNKNOWN,PED,BAWANA R/L,MINOR ROADS,2019
17463,2,SHAHBAD DAIRY,279/337 IPC,02-Jan-20,UNKNOWN,TWW,NAHAR TO BARWALA MAIN RD,MINOR ROADS,2020
18019,2,DHAULA KUAN(SOUTH CAMPUS),279/337 IPC,04-Jan-17,UNKNOWN,TWW,SATYA NIKETAN BUS STOP TWDS AI,RING ROAD,2017
18074,2,DHAULA KUAN(SOUTH CAMPUS),279/337 IPC,07-Jan-20,PVT CAR,PED,INF BABA BALAK NATH MANDIR,MINOR ROADS,2020
18190,2,FATEHPUR BERI,279/337 IPC,01-Jan-17,HTV/GDS,TMP,CHATTER PUR DERA RD,MINOR ROADS,2017
18257,2,FATEHPUR BERI,279/337 IPC,05-Jan-18,PVT CAR,TWW,NEAR MOTHER TARESA  DERA MINES,MINOR ROADS,2018
18334,2,FATEHPUR BERI,279/337/304 A IPC,01-Jan-19,PVT CAR,SLF,OPP AIRFORCE STN AYANGR MPN203,MEHRAULI GURGAON RD,2019
18514,2,HAUZ KHAS,279/304 A IPC,01-Jan-18,PVT CAR,TWW,NEAR IIT FLYOVER,AUROBINDO MARG,2018
18738,2,KISHAN GARH,279/337 IPC,01-Jan-20,PVT CAR,PED,NEAR IIT,OUTER RING ROAD,2020
19149,2,LODHI COLONY,279/337 IPC,03-Jan-20,TEMPO,CAR,"NR CENTRAL MKT CROSSING,LODHI",MINOR ROADS,2020
19725,2,R.K. PURAM,279/304 A IPC,01-Jan-20,BUS O S,SLF,OPO HYAAT HOTEL,RING ROAD,2020
20446,2,VASANT KUNJ SOUTH,279/338 IPC,01-Jan-18,S/C&M/C,PED,NR NANGAL DEWAT POLICE PICKET,MAHIPAL PUR ROAD,2018
20734,2,VASANT VIHAR,279/337 IPC,01-Jan-18,MIN.BUS,TSR,RED LIGHT UNDER MUNIRKA FLYOVE,OUTER RING ROAD,2018
20914,2,AMAR COLONY,279/337 IPC,01-Jan-20,PVT CAR,TWW,"INF A-9, AMAR COL. LAJPAT NGR",MINOR ROADS,2020
21262,2,CHITRANJAN PARK,279/337 IPC,07-Jan-19,PVT CAR,CAR,NR EYE CENTRE M BLOCK,MINOR ROADS,2019
21280,2,DEFENCE COLONY,279/337/338 IPC,01-Jan-16,UNKNOWN,PED,INF OF POLICE POLICE COLONY DE,MINOR ROADS,2016
22038,2,JAIT PUR,279/337 IPC,04-Jan-18,UNKNOWN,CYC,NR SHIVPURI MEETHA PUR,AGRA CANAL ROAD,2018
22283,2,KALINDI KUNJ,279/337 IPC,01-Jan-20,S/C&M/C,PED,"INF INF STAR DHARM KANTA, PUST",MINOR ROADS,2020
