SL NO. ,FIRNO,POLICE STATION ,U/S ,DATE ,OFFENDING VEHICLE ,VICTIMS ,PLACE OF OCCURANCE,ROAD NAME,YEAR
23475,52,SANGAM VIHAR,279/304 A IPC,13-Feb-18,UNKNOWN,TWW,NR SANGAM VIHAR BUS STAND,MEHRAULI BADARPUR RD,2018
23659,52,SARITA VIHAR,279/304 A IPC,12-Mar-18,S/C&M/C,PED,NEAR JASOLA BUS STOP,13A NO ROAD,2018
24615,52,CHHAWALA,279/304 A IPC,10-Feb-17,PVT CAR,PED,MAX GARDEN SHYAM VIHAR NEW DLH,MINOR ROADS,2017
24966,52,JAFFAR PUR,279/304 A IPC,06-Apr-18,UNKNOWN,PED,MAIN DHASA ROAD ILAHABAD BANK,DANSHA ROAD,2018
25055,52,KAPASHERA,279/337/304 A IPC,20-Feb-16,UNKNOWN,TWW,KAPASHERA CHOWK INF HNO 273 HE,MINOR ROADS,2016
25272,52,KAPASHERA,279/337 IPC,14-Jan-19,PVT CAR,TWW,N/R TOLL TAX  BAJGHERA,KAPASHERA ROAD,2019
25683,52,TILAK NAGAR,279/337 IPC,06-Feb-18,UNKNOWN,PED,NEAR GATE NO 4 PACIFIC MALL,MINOR ROADS,2018
26650,52,DABRI,279/337 IPC,24-Jan-19,PVT CAR,CYC,NEAR AZAD JUICE CORNER 40 FEET,MINOR ROADS,2019
26929,52,INDER PURI,279/337 IPC,20-Mar-16,S/C&M/C,PED,KIRSHI KUNJ RED LIGHT INDERPUR,DEV PARKASH SHASTRI ROAD,2016
26972,52,INDER PURI,279/337 IPC,13-Mar-17,PVT CAR,PED,NEAR TODA PUR BUS STAND NEW DE,DEV PARKASH SHASTRI ROAD,2017
27280,52,JANAK PURI,279/304 A IPC,28-Jan-20,UNKNOWN,CYC,NR BUDH BAZAR RD R/L DABRI,PANKHA ROAD,2020
27458,52,MAYA PURI,279/337 IPC,09-Apr-18,PVT CAR,TWW,T POINT PANKHA RD D BLOCK,PANKHA ROAD,2018
