POLICE STATION ,PS_Name,PS_ID,,,,
PATPARGANJ IND. AREA,Patparganj Ind. Area,126,,,,
PRASHAD NAGAR,Parshad Nagar,121,,,,
PRASHANT VIHAR,ParshantVihar,122,,,,
PREET VIHAR,Preet Vihar,127,,,,
PREM NAGAR,Prem Nagar,128,,,,
PUL PRAHLAD PUR,PulPrahladPur,129,,,,
PUNJABI BAGH,Punjabi Bagh,130,,,,
R.K. PURAM,R.K Puram,132,,,,
RAJ PARK,Raj Park,133,,,,
RAJENDER NAGAR,Rajinder Nagar,134,,,,
RAJOURI GARDEN,Rajouri Garden,135,,,,
RANHOLA,Ranhola,136,,,,
RANI BAGH,Rani Bagh,137,,,,
RANJIT NAGAR,Ranjit Nagar,138,,,,
RLY STN. OLD DELHI,,,,,,
RLY STN.NEW DELHI,,,,,,
ROHINI NORTH,North Rohini,114,,,,
ROHINI SOUTH,South Rohini,162,,,,
ROOP NAGAR,Roop Nagar,139,,,,
SABZI MANDI,Sabzi Mandi,140,,,,
SADAR BAZAR,Sadar Bazar,141,,,,
SAFDARJUNG ENCLAVE,Safdarjung Enclave,142,,,,
SAGAR PUR,Sagar Pur,143,,,,
SAKET,Saket,181,,,,
SAMAY PUR BADLI,SamayPurBadli,144,,,,
SANGAM VIHAR,SangamVihar,145,,,,
SARAI ROHILA,Sarai Rohilla,147,,,,
SARASWATI VIHAR(SUBHASH PLACE),Subhash Place,163,,,,
SARITA VIHAR,Sarita Vihar,148,,,,
SAROJNI NAGAR,Sarojini Nagar,149,,,,
SEELAM PUR,Seelampur,151,,,,
SEEMA PURI,Seema Puri,152,,,,
SHAHBAD DAIRY,Shahbad Dairy,153,,,,
SHAHDARA,Shahdara,154,,,,
SHAHEEN BAGH,ShaheenBagh,155,,,,
SHAKAR PUR (NEW),ShakarPur,156,,,,
SHALIMAR BAGH,Shalimar Bagh,157,,,,
SHASTRI PARK,Shastri Park,158,,,,
SONIA VIHAR,Sonia Vihar,159,,,,
SOUTH AVENUE,South Avenue,160,,,,
SUBZI MANDI RAILWAY STATION,,,,,,
SULTAN PURI,Sultan Puri,164,,,,
SUNLIGHT COLONY,Sunlight Colony,165,,,,
SWAROOP NAGAR,Swarup Nagar,166,,,,
TIGRI,Tigri,168,,,,
TILAK MARG,Tilak Nagar,169,,,,
TILAK NAGAR,TilakMarg,167,,,,
TIMAR PUR,TimarPur,170,,,,
TUGLAK ROAD,Tughlak Road,171,,,,
UTTAM NAGAR,UttamNagar,172,,,,
VASANT KUNJ NORTH,Vasant Kunj (North),173,,,,
VASANT KUNJ SOUTH,Vasant Kunj (South),174,,,,
VASANT VIHAR,Vasant Vihar,175,,,,
VIJAY VIHAR,Vijay Vihar,176,,,,
VIKAS PURI,Vikaspuri,183,,,,
VIVEK VIHAR,Vivek Vihar,177,,,,
WAZIRABAD,Wazirabad,178,,,,
WELCOME COLONY,Welcome,179,,,,
ZAFRABAD,Jaffrabad,53,,,,
,,,,,,
