FIR.No.,PS_Name,Date.of.crash,Victim_user_type,Responsible.road.user
52,PATPARGANJ IND. AREA,03-Mar-20,MTW,Unknown
2,SHAKAR PUR (NEW),02-Jan-20,Pedestrian,M3W
266,SHAKAR PUR (NEW),22-Jun-20,MTW,Unknown
355,SHAKAR PUR (NEW),23-Aug-20,Pedestrian,Unknown
41,VIVEK VIHAR,25-Jan-20,Other,Unknown
50,VIVEK VIHAR,10-Feb-20,MTW,Car
134,VIVEK VIHAR,13-May-20,Car,Truck/Tractor
230,VIVEK VIHAR,29-Aug-20,Pedestrian,Car
250,VIVEK VIHAR,17-Sep-20,Self,MTW
278,VIVEK VIHAR,15-Oct-20,MTW,Unknown
278,VIVEK VIHAR,15-Oct-20,MTW,Unknown
349,VIVEK VIHAR,21-Dec-20,Pedestrian,Truck/Tractor
350,VIVEK VIHAR,23-Dec-20,MTW,MTW
3,CHANAKYA PURI,17-Jan-20,Pedestrian,Car
8,CHANAKYA PURI,10-Feb-20,Bicycle,Unknown
47,CHANAKYA PURI,28-May-20,MTW,Car
56,MANDIR MARG,14-Jun-20,Pedestrian,Unknown
125,MANDIR MARG,12-Oct-20,MTW,Unknown
132,MANDIR MARG,06-Nov-20,Pedestrian,Unknown
158,MANDIR MARG,04-Dec-20,MTW,Unknown
173,MANDIR MARG,27-Dec-20,Pedestrian,Car
1,PARLIAMENT STREET,03-Jan-20,Bus,Bus
13,PARLIAMENT STREET,18-Feb-20,MTW,Bus
2,TILAK MARG,02-Jan-20,Pedestrian,Bus
6,TILAK MARG,01-Feb-20,Pedestrian,Unknown
78,TILAK MARG,11-Oct-20,Self,M3W
79,TILAK MARG,13-Oct-20,Pedestrian,M3W
109,TILAK MARG,21-Dec-20,MTW,Unknown
35,TUGLAK ROAD,27-Apr-20,MTW,Car
55,TUGLAK ROAD,02-Aug-20,Car,Truck/Tractor
57,TUGLAK ROAD,27-Aug-20,MTW,Unknown
21,BARA HINDU RAO,05-Mar-20,Self,Unknown
8,CIVIL LINES,15-Jan-20,MTW,MTW
10,CIVIL LINES,15-Jan-20,Pedestrian,Unknown
40,CIVIL LINES,27-Feb-20,Bicycle,Unknown
48,CIVIL LINES,09-Mar-20,Self,Bus
265,CIVIL LINES,20-Jun-20,Bicycle,Car
313,CIVIL LINES,29-Jul-20,Pedestrian,Car
331,CIVIL LINES,18-Aug-20,MTW,Unknown
516,CIVIL LINES,22-Nov-20,Self,Car
526,CIVIL LINES,29-Nov-20,Pedestrian,M3W
569,CIVIL LINES,28-Dec-20,Bicycle,Unknown
285,CIVIL LINES,10-Jul-20,Pedestrian,Unknown
26,GULABI BAGH,05-Mar-20,MTW,Unknown
106,GULABI BAGH,18-Jun-20,Pedestrian,Unknown
397,KASHMIRI GATE,04-Dec-20,Car,Unknown
32,KASHMIRI GATE,04-Feb-20,Pedestrian,Bus
155,KASHMIRI GATE,15-Jul-20,MTW,Truck/Tractor
72,KOTWALI,07-Feb-20,Pedestrian,Unknown
109,KOTWALI,06-Mar-20,Self,Bus
129,KOTWALI,12-Mar-20,MTW,MTW
243,KOTWALI,07-Jun-20,Pedestrian,MTW
333,KOTWALI,02-Aug-20,MTW,Bus
525,KOTWALI,13-Oct-20,Pedestrian,Car
608,KOTWALI,03-Nov-20,Self,Bus
636,KOTWALI,09-Nov-20,Pedestrian,MTW
56,LAHORI GATE,05-Mar-20,MTW,Unknown
7,MAURICE NAGAR,06-Feb-20,Bicycle,Car
45,MAURICE NAGAR,16-Jun-20,Car,Truck/Tractor
57,MAURICE NAGAR,10-Aug-20,Pedestrian,Car
20,ROOP NAGAR,13-Feb-20,MTW,Car
396,ROOP NAGAR,18-Dec-20,Pedestrian,MTW
190,SADAR BAZAR,15-Sep-20,Pedestrian,Truck/Tractor
64,SARAI ROHILA,24-Feb-20,MTW,Unknown
89,SARAI ROHILA,21-Mar-20,Bicycle,Unknown
352,SARAI ROHILA,05-Oct-20,MTW,Bus
1,TIMAR PUR,01-Jan-20,Self,Unknown
18,TIMAR PUR,14-Jan-20,Car,Car
132,TIMAR PUR,30-May-20,MTW,Unknown
351,TIMAR PUR,18-Oct-20,Self,M3W
433,TIMAR PUR,21-Nov-20,M3W,MTW
454,TIMAR PUR,18-Dec-20,Pedestrian,Unknown
34,DAYAL PUR,23-Jan-20,Self,Unknown
267,DAYAL PUR,14-May-20,Other,MTW
315,DAYAL PUR,06-Jun-20,Pedestrian,Unknown
586,DAYAL PUR,06-Nov-20,MTW,Other
22,GOKAL PURI,07-Feb-20,Pedestrian,Car
543,GOKAL PURI,06-Feb-20,MTW,Truck/Tractor
467,GOKAL PURI,06-Oct-20,Pedestrian,Car
6,HARSH VIHAR,01-Jan-20,Pedestrian,Truck/Tractor
743,HARSH VIHAR,01-Sep-20,MTW,Truck/Tractor
877,HARSH VIHAR,01-Nov-20,MTW,Car
941,HARSH VIHAR,20-Nov-20,Pedestrian,Truck/Tractor
65,JYOTI NAGAR,25-Feb-20,Pedestrian,Truck/Tractor
105,JYOTI NAGAR,11-Mar-20,MTW,Unknown
293,JYOTI NAGAR,19-Jun-20,Pedestrian,Truck/Tractor
325,JYOTI NAGAR,11-Jul-20,Truck/Tractor,M3W
346,JYOTI NAGAR,28-Jul-20,Pedestrian,Truck/Tractor
396,JYOTI NAGAR,28-Aug-20,MTW,Unknown
459,KARAWAL NAGAR,22-Sep-20,Other,Unknown
269,KHAZOORI,15-Mar-20,Self,Car
314,KHAZOORI,06-Apr-20,Bicycle,MTW
576,KHAZOORI,19-May-20,Truck/Tractor,Truck/Tractor
628,KHAZOORI,18-Jun-20,MTW,Truck/Tractor
644,KHAZOORI,24-Jun-20,Pedestrian,Car
56,"NAND NAGRI",08-Feb-20,MTW,Unknown
335,"NAND NAGRI",26-May-20,Other,Unknown
444,"NAND NAGRI",15-Jul-20,M3W,Other
509,"NAND NAGRI",07-Aug-20,MTW,Car
606,"NAND NAGRI",14-Sep-20,Truck/Tractor,Unknown
634,"NAND NAGRI",24-Sep-20,Other,Bus
634,"NAND NAGRI",24-Sep-20,Other,Bus
634,"NAND NAGRI",24-Sep-20,Other,Bus
696,"NAND NAGRI",17-Oct-20,Pedestrian,M3W
75,NEW USHMAN PUR,20-Feb-20,Pedestrian,Unknown
15,SEELAM PUR,10-Jan-20,MTW,Unknown
258,SEELAM PUR,06-Jul-20,Self,Truck/Tractor
268,SEELAM PUR,18-Jul-20,MTW,MTW
280,SEELAM PUR,01-Aug-20,MTW,MTW
2,SEEMA PURI,01-Jan-20,Pedestrian,Car
60,SEEMA PURI,04-Feb-20,Self,Bus
144,SEEMA PURI,03-Apr-20,M3W,MTW
286,SEEMA PURI,07-Jun-20,Pedestrian,Truck/Tractor
287,SEEMA PURI,08-Jun-20,Self,Unknown
457,SEEMA PURI,07-Oct-20,Pedestrian,MTW
541,SEEMA PURI,06-Dec-20,Bicycle,M3W
8,SHAHDARA,09-Jan-20,MTW,Unknown
351,SHAHDARA,08-Nov-20,Pedestrian,Truck/Tractor
387,SHAHDARA,20-Nov-20,MTW,Unknown
37,SHASTRI PARK,30-Jan-20,Pedestrian,Truck/Tractor
53,SHASTRI PARK,15-Feb-20,MTW,Unknown
286,SHASTRI PARK,13-Jun-20,Pedestrian,Unknown
500,SHASTRI PARK,25-Oct-20,Bus,Car
25,SHASTRI PARK,18-Jan-20,Pedestrian,MTW
316,SHASTRI PARK,29-Jun-20,MTW,Unknown
366,SHASTRI PARK,28-Jul-20,Other,Unknown
490,SHASTRI PARK,16-Oct-20,Pedestrian,Car
27,SONIA VIHAR,17-Feb-20,MTW,MTW
266,SONIA VIHAR,18-Jul-20,Bicycle,Truck/Tractor
273,SONIA VIHAR,31-Jul-20,MTW,MTW
