S. no.,FIR No.,Police station,Date of crash ,Time of crash (24 hr format),Responsible road user,Victim user type (as per Delhi Traffic Police),Pedestrian Injured ,Pedestrian killed,MTW Injured,MTW killed,Other vehicle type involved,Injured (other vehicle),Fatalities (other vehicle),Age (killed 1),Gender (killed 1),Road user type (killed 1),Age (killed 2),Gender (killed 2),Road user type (killed 2),Age (killed 3),Gender (killed 3),Road user type (killed 2),Responsible road user Age,Responsible road user Gender,Place of occurrence,Road name,Geocordinates (Latitude),Geocordinates (longitude),Total injured,Total killed,If offending vehicle is Unknown Reason unknown; eg: hit and run
290,396,JYOTI NAGAR,28-Aug-20,00:46,UNKNOWN,TWW,0,1,0,0,,0,0,45,Male,Pedestrian,,,,,,,,,LONI GOLE CHAKKAR UNDER FLYOVE,LONI ROAD,28.700988,77.291642,0,1,Hit and run
291,459,KARAWAL NAGAR,22-Sep-20,00:15,UNKNOWN,Cycle rickshaw,0,0,0,1,,0,0,36,Male,Driver,,,,,,,,,NR TOLL TAX SBS COLONY KARAWAL,KARAWAL NAGAR ROAD,28.733598,77.26026,0,1,Hit and run
292,269,KHAZOORI,15-Mar-20,20:30,Car/ Jeep/ Van/ Taxi,Self,0,0,1,0,Cycle rickshaw,0,1,45,Male,Cyclist,,,,,,,,,NR CRP CAMP CUT PUSTA ROAD,PUSTA ROAD,28.716235,77.257675,1,1,Hit and run
293,314,KHAZOORI,06-Apr-20,15:10,Motorised two wheeler,Cyclists,0,0,0,1,,0,0,27,Male,Self,,,,,,,,,PUSTA RD BIHARIPR NR 103 BAN R,PUSTA ROAD,28.715722,77.257591,0,1,
294,576,KHAZOORI,19-May-20,06:00,Tempo/ Tractor,TRC,0,0,0,0,Bicycle,0,1,45,Male,Cyclist,,,,,,,,,INF AMBIKA PLALCE,WAZIRABAD ROAD,28.703695,77.261079,0,1,
295,628,KHAZOORI,18-Jun-20,01:00,Heavy vehicles,TWW,0,1,0,0,,0,0,28,Male,Pedestrian,,,,,,,,,NR KHAZOORI KHAS FLYOVER,WAZIRABAD ROAD,28.703758,77.26158,0,1,Hit and run
296,644,KHAZOORI,24-Jun-20,19:55,Car/ Jeep/ Van/ Taxi,Pedestrians,0,0,0,1,,0,0,34,Male,Driver,,,,,,,,,KHAZOORI PUSTA NR PTS WAZIRABA,PUSTA ROAD,28.72325,77.258717,0,1,Hit and run
297,645,KHAZOORI,25-Jun-20,21:15,UNKNOWN,Pedestrians,0,1,0,0,,0,0,45,Female,Pedestrian,,,,,,,,,KHAZOORI KHAS INF POLICE STN,PUSTA ROAD,28.713432,77.257302,0,1,Hit and run
298,861,KHAZOORI,13-Nov-20,23:15,UNKNOWN,Pedestrians,0,1,0,0,,0,0,35,Male,Pedestrian,,,,,,,,,CRPF KHAZOORI PUSTA ROAD,PUSTA ROAD,28.716149,77.257657,0,1,Hit and run
299,45,NAND NAGRI,22-Jan-20,20:45,UNKNOWN,Pedestrians,0,1,0,0,,0,0,50,Male,Pedestrian,,,,,,,,,NR RAJIV GANDHI HOSPITAL TAHIR,MINOR ROADS,28.688527,77.317306,0,1,Hit and run
300,56,NAND NAGRI,08-Feb-20,18:55,UNKNOWN,TWW,0,1,0,0,,0,0,23,Male,Pedestrian,,,,,,,,,NAND NAGRI DEPOTT,MINOR ROADS,28.698871,77.305793,0,1,Hit and run
301,335,NAND NAGRI,26-May-20,13:50,UNKNOWN,ERC,0,0,0,1,,0,0,34,Male,Driver,,,,,,,,,CHAR KHAMBA RED LIGHT,WAZIRABAD ROAD,28.697463,77.315537,0,1,Hit and run
302,444,NAND NAGRI,15-Jul-20,22:20,Other,TSR,0,0,0,0,Auto-rickshaw,2,1,50,Male,Driver,,,,,,,,Male,KODHI COLONY TATHIRPUR,MINOR ROADS,28.68766,77.3205,2,1,
303,509,NAND NAGRI,07-Aug-20,18:00,Car/ Jeep/ Van/ Taxi,TWW,0,0,0,0,Auto-rickshaw,1,1,34,Male,Driver,,,,,,,,,UNDER DURGAPURI FLYOVER,MINOR ROADS,28.689599,77.301596,1,1,
304,562,NAND NAGRI,30-Aug-20,00:15,Heavy vehicles,TWW,0,0,0,1,,0,0,40,Male,,,,,,,,,,NR PETROL PUMP YAMUNA VIHAR,WAZIRABAD ROAD,28.697832,77.313464,0,1,
305,606,NAND NAGRI,14-Sep-20,01:15,UNKNOWN,TMP,0,0,0,1,,0,0,23,Male,Driver,,,,,,,,,NR RAJIV GANDHI HOSPITAL INF J,TAHIRPUR ROAD,28.688527,77.317306,0,1,Hit and run
306,634,NAND NAGRI,24-Sep-20,21:15,Bus,Self,4,3,0,0,,,,12,Male,Pedestrian,40,Male,Pedestrian,,Male,Pedestrian,,,INF NAND NAGRI DEPO WAZIRABAD,WAZIRABAD ROAD,28.699133,77.305885,4,3,
307,696,NAND NAGRI,17-Oct-20,07:04,Auto-rickshaw- TSR,Pedestrians,0,0,0,0,Auto-rickshaw,0,1,49,Male,Driver,,,,,,,,,CNG P PUMP WAZIRABAD NAND NAGR,WAZIRABAD ROAD,28.69783,77.312898,0,1,
308,75,NEW USHMAN PUR,20-Feb-20,14:15,UNKNOWN,Pedestrians,0,1,0,0,,0,0,82,Male,Pedestrian,,,,,,,,,0 PUSTA NEW USMANPUR,MINOR ROADS,28.677343,77.257014,0,1,Hit and run
309,15,SEELAM PUR,10-Jan-20,03:00,UNKNOWN,TWW,0,1,0,0,,0,0,60,Male,Pedestrian,,,,,,,,,NR SEELAMPUR PETROL PUMP T POI,GRANT TRUNK ROAD,28.671173,77.269956,0,1,Hit and run
310,258,SEELAM PUR,06-Jul-20,05:30,Heavy vehicles,Self,0,0,0,1,,0,0,45,Male,Driver,,,,,,,,,FLYOVER SEELAMPUR,GRANT TRUNK ROAD,28.671406,77.268747,0,1,
311,268,SEELAM PUR,18-Jul-20,Unknown,Motorised two wheeler,TWW,0,0,0,1,,0,0,25,Male,Self,,,,,,,,,INF ALTAJ DWAKHANA,MINOR ROADS,28.674671,77.270448,0,1,
312,280,SEELAM PUR,01-Aug-20,22:30,Motorised two wheeler,TWW,0,0,1,1,,0,0,,Male,Passenger,,,,,,,,,SEELEAM R/ LIGHT NEAR METRO ST,GRANT TRUNK ROAD,28.671222,77.269437,1,1,
313,375,SEELAM PUR,24-Oct-20,21:30,Bus,TWW,0,0,0,1,,0,0,40,Male,Driver,,,,,,,,,TWDS ISBT CARRIAGEWAY NR METRO,GRANT TRUNK ROAD,28.671381,77.26994,0,1,
314,2,SEEMA PURI,01-Jan-20,23:00,Car/ Jeep/ Van/ Taxi,Pedestrians,0,0,0,1,,0,0,40,Male,Driver,,,,,,,,,UNDERPASS APSARA BORDER,GRANT TRUNK ROAD,28.676321,77.318976,0,1,Hit and run
315,47,SEEMA PURI,26-Jan-20,14:45,Bus,Pedestrians,0,1,0,0,,0,0,75,Male,Pedestrian,,,,,,,,,NR APSARA BORDER SEEMAPURI,MINOR ROADS,28.676049,77.322754,0,1,
316,60,SEEMA PURI,04-Feb-20,04:15,Bus,Self,0,0,0,0,Bus,0,1,28,Male,,,,,,,,,,CLUSTER BUS DEPOT SEEMAPURI,MINOR ROADS,28.68541,77.33123,0,1,
317,144,SEEMA PURI,03-Apr-20,14:00,Motorised two wheeler,TSR,0,0,0,1,,0,0,60,Male,Self,,,,,,,,,UNDERPASS TWDS ANAND VIHAR,MINOR ROADS,28.675881,77.322839,0,1,
318,286,SEEMA PURI,07-Jun-20,03:00,Tempo/ Tractor,Pedestrians,0,0,0,0,Auto-rickshaw,2,1,27,Male,Passenger,,,,,,,,,NR LG SHOWROOM APSARA BORDER,GRANT TRUNK ROAD,28.676398,77.31879,2,1,Hit and run
319,287,SEEMA PURI,08-Jun-20,00:30,UNKNOWN,Self,0,1,0,0,,0,0,,Male,Pedestrian,,,,,,,,,INF COMMUNITY CENTRE SEEMAPURI,MINOR ROADS,28.680109,77.328463,0,1,Hit and run
320,457,SEEMA PURI,07-Oct-20,21:00,Motorised two wheeler,Pedestrians,0,1,0,0,,0,0,18,Male,Pedestrian,,,,,,,,Male,INF OFFICE OF RAM NIWAS GOYAL,GRANT TRUNK ROAD,28.676169,77.316324,0,1,
321,541,SEEMA PURI,06-Dec-20,00:10,Auto-rickshaw- TSR,Cyclists,0,0,0,0,Auto-rickshaw,2,1,48,Male,,,,,,,,,,NR GURU NANAK RASHOI DILSHAD G,MINOR ROADS,28.680637,77.313661,2,1,
322,8,SHAHDARA,09-Jan-20,20:00,UNKNOWN,TWW,0,0,0,0,Bicycle,0,1,45,Male,Cyclist,,,,,,,,,INF SHYAM LAL COLLEGE SHAHDARA,GRANT TRUNK ROAD,28.673229,77.28228,0,1,Hit and run
323,351,SHAHDARA,08-Nov-20,22:30,Heavy vehicles,Pedestrians,0,0,0,1,,0,0,22,Male,Driver,,,,,,,,,TIKONA PARK LONI ROAD,LONI ROAD,28.679267,77.292389,0,1,
324,387,SHAHDARA,20-Nov-20,21:00,UNKNOWN,TWW,0,1,0,0,,0,0,48,Male,Pedestrian,,,,,,,,,INF INGATE SHAHDARA BUS TERMIN,GRANT TRUNK ROAD,28.674354,77.287306,0,1,Hit and run
325,37,SHASTRI PARK,30-Jan-20,02:00,Heavy vehicles,Pedestrians,0,1,0,0,,0,0,30,Male,Pedestrian,,,,,,,,,FROM SIGNATURE BRIDGE TO KHAJ,WAZIRABAD ROAD,28.70519,77.249136,0,1,Hit and run
326,53,SHASTRI PARK,15-Feb-20,Unknown,UNKNOWN,TWW,0,1,0,0,,0,0,,,Pedestrian,,,,,,,,,NR KHAZOORI FLYOVER,PUSTA ROAD,28.704834,77.25621,0,1,Hit and run
327,236,SHASTRI PARK,05-May-20,21:35,UNKNOWN,TWW,0,0,0,1,,0,0,45,Male,Driver,,,,,,,,,NR KHAJURI KHAS FLYOVER,WAZIRABAD ROAD,28.704628,77.255205,0,1,Hit and run
328,286,SHASTRI PARK,13-Jun-20,07:10,UNKNOWN,Pedestrians,0,0,0,1,,0,0,21,Male,Driver,,,,,,,,,KHAZOORI FLYOVER,WAZIRABAD ROAD,28.704982,77.253041,0,1,Hit and run
329,500,SHASTRI PARK,25-Oct-20,14:20,Car/ Jeep/ Van/ Taxi,Bus,0,1,0,0,,0,0,70,Female,Pedestrian,,,,,,,,Male,KHAZOORI TO SIGNATURE BRIDGE,WAZIRABAD ROAD,28.704805,77.255353,0,1,hit and Run
330,25,SHASTRI PARK,18-Jan-20,00:30,Motorised two wheeler,Pedestrians,0,0,1,1,,0,0,,Male,,,,,,,,,,IT PARK R/LIGHT,GRANT TRUNK ROAD,28.67267,77.25586,1,1,
331,52,SHASTRI PARK,14-Feb-20,Unknown,Bus,Pedestrians,0,1,0,0,,0,0,,,Pedestrian,,,,,,,,,T-POINT SHASTRI PARK THEK,GRANT TRUNK ROAD,28.670415,77.233024,0,1,
332,316,SHASTRI PARK,29-Jun-20,04:00,UNKNOWN,TWW,0,1,0,0,,0,0,22,Male,Pedestrian,,,,,,,,,R/L SHASTRI PARK TO DHARMPURA,GRANT TRUNK ROAD,28.67266,77.25584,0,1,Hit and run
333,366,SHASTRI PARK,28-Jul-20,06:55,UNKNOWN,Cycle rickshaw,0,1,0,0,,0,0,18,Male,Pedestrian,,,,,,,,,1ST PUSTA NEW USMANPUR,MINOR ROADS,28.68038,77.261066,0,1,Hit and run
334,490,SHASTRI PARK,16-Oct-20,22:00,Car/ Jeep/ Van/ Taxi,Pedestrians,0,0,0,0,Cycle rickshaw,1,1,,Female,Passenger,,,,,,,,Male,DHARMPURA RED LIGHT GT ROAD,GRANT TRUNK ROAD,28.670004,77.263297,1,1,
335,613,SHASTRI PARK,27-Dec-20,23:00,UNKNOWN,Pedestrians,0,1,0,0,,0,0,40,Male,Pedestrian,,,,,,,,,INF GT RD IT PARK SHAHDARA SID,GRANT TRUNK ROAD,28.673588,77.2507,0,1,Hit and run
336,27,SONIA VIHAR,17-Feb-20,21:00,Motorised two wheeler,TWW,0,1,0,0,,0,0,70,Male,Pedestrian,,,,,,,,,5TH PUSTA SONIA VIHAR DELHI,PUSTA ROAD,28.734513,77.246619,0,1,Hit and run
337,49,SONIA VIHAR,09-Mar-20,23:30,UNKNOWN,TWW,0,0,0,1,,0,0,23,Male,Driver,,,,,,,,,HANUMAN MANDIR WAZIRABAD,WAZIRABAD ROAD,28.710523,77.236151,0,1,Hit and run
338,266,SONIA VIHAR,18-Jul-20,21:50,Tempo/ Tractor,Cyclists,0,0,1,1,,0,0,24,Female,Passenger,,,,,,,,,MAIN SONIA VIHAR 3RD PUSTA,PUSTA ROAD,28.725674,77.245043,1,1,Hit and run
339,273,SONIA VIHAR,31-Jul-20,22:00,Motorised two wheeler,TWW,0,0,0,0,Bicycle,0,1,30,Male,Cyclist,,,,,,,,Male,"DTC BUS STAND SABHAPUR CHOWK,",PUSTA ROAD,28.739039,77.247441,0,1,
340,399,SONIA VIHAR,25-Dec-20,23:15,UNKNOWN,Self,0,0,0,1,,0,0,32,Male,Driver,,,,,,,,,NR 1ST PUSTA SONIA VIHAR,PUSTA ROAD,28.71793,77.243118,0,1,Hit and run
341,10,ADARSH NAGAR,07-Jan-20,00:00,Motorised two wheeler,TWW,0,0,1,1,,0,0,60,Male,Self,,,,,,,,,ADARSH NGR TO MODEL TOWN UNDER,GTK ROAD,28.710414,77.176153,1,1,
342,101,ADARSH NAGAR,10-Mar-20,15:30,UNKNOWN,Pedestrians,0,0,1,1,,0,0,,Male,,,,,,,,,,"INF METRO VIHAR, NR MAJLIS STN",51 NO ROAD,28.722461,77.182733,1,1,Hit and run
343,104,ADARSH NAGAR,12-Mar-20,05:00,Car/ Jeep/ Van/ Taxi,Cyclists,0,1,0,0,,0,0,65,Male,Pedestrian,,,,,,,,,AZADPUR PUL NR PS ADARS NAGAR,GTK ROAD,28.709711,77.175673,0,1,Hit and run
344,405,ADARSH NAGAR,02-May-20,11:30,Auto-rickshaw- TSR,Pedestrians,0,0,0,0,Bicycle,0,1,35,Male,Cyclist,,,,,,,,Male,AZAD PUR FLYOVER,RING ROAD,28.709863,77.175676,0,1,
345,432,ADARSH NAGAR,09-May-20,15:45,Heavy vehicles,Pedestrians,0,1,0,0,,0,0,45,Male,Pedestrian,,,,,,,,,METRO PILLR NO 86 AND 87 BETWE,GTK ROAD,28.714932,77.171932,0,1,
346,455,ADARSH NAGAR,21-May-20,07:00,Motorised two wheeler,Pedestrians,0,1,0,0,,0,0,45,Male,Pedestrian,,,,,,,,,"INF GATE NO1, AZADPUR MANDI",GTK ROAD,28.712631,77.17371,0,1,
347,483,ADARSH NAGAR,13-Jun-20,00:00,UNKNOWN,TWW,0,1,0,0,,0,0,65,Male,Pedestrian,,,,,,,,,AZADPUR FLYOVER,51 NO ROAD,28.712271,77.179255,0,1,Hit and run
348,495,ADARSH NAGAR,18-Jun-20,21:30,Motorised two wheeler,Pedestrians,0,0,0,1,,0,0,28,Male,Self,,,,,,,,,NR BY MAJLIS PARK,51 NO ROAD,28.725244,77.182642,0,1,
349,498,ADARSH NAGAR,26-Jun-20,04:52,UNKNOWN,Pedestrians,0,1,0,0,,0,0,71,Male,Pedestrian,,,,,,,,,NR RAMESHWAR NAGAR CUT DL,51 NO ROAD,28.711927,77.182505,0,1,Hit and run
350,568,ADARSH NAGAR,31-Jul-20,21:20,UNKNOWN,Pedestrians,0,1,0,0,,0,0,,Male,Pedestrian,,,,,,,,,NR MCD OFFICE ROIAD NO 51,51 NO ROAD,28.712158,77.180558,0,1,Hit and run
351,581,ADARSH NAGAR,08-Aug-20,08:00,UNKNOWN,Pedestrians,0,1,0,0,,0,0,70,Female,Pedestrian,,,,,,,,,R/L MAJLISH PARK METRO STN,51 NO ROAD,28.72491,77.182529,0,1,Hit and run
352,585,ADARSH NAGAR,10-Aug-20,15:00,Car/ Jeep/ Van/ Taxi,Car,0,1,0,0,,0,0,40,Male,Pedestrian,,,,,,,,Male,INF INDRA NAGAR GURUDWARA,GTK ROAD,28.71608,77.17096,0,1,Hit and Run
353,634,ADARSH NAGAR,17-Sep-20,04:15,Car/ Jeep/ Van/ Taxi,TWW,0,0,0,0,Car/ Jeep/ Van/ Taxi,0,1,27,Male,Passenger,,,,,,,23,Male,AZAD PUR FLY OVER,51 NO ROAD,28.711217,77.177724,0,1,Hit and Run
354,636,ADARSH NAGAR,18-Sep-20,10:54,UNKNOWN,TWW,0,0,0,1,,0,0,39,Male,Driver,,,,,,,,,NR PEER BABA MAZAR AZADPUR CHO,RING ROAD,28.708706,77.17495,0,1,Hit and run
355,675,ADARSH NAGAR,12-Oct-20,Unknown,Car/ Jeep/ Van/ Taxi,TWW,0,0,0,1,,0,0,,,,,,,,,,,,NR SURAJ PARK AZADPUR,MINOR ROADS,28.718471,77.175426,0,1,
356,684,ADARSH NAGAR,15-Oct-20,21:50,UNKNOWN,Pedestrians,0,0,0,1,,0,0,30,Male,Driver,,,,,,,,,AZADPUR UNDER PASS RD PIL NO 6,GTK ROAD,28.709213,77.176986,0,1,Hit and run
357,694,ADARSH NAGAR,19-Oct-20,21:25,Bus,Pedestrians,0,1,0,0,,0,0,24,Male,Pedestrian,,,,,,,,Male,NR AZADPUR FLYOVER RED LIGHT,RING ROAD,28.710226,77.176553,0,1,
358,778,ADARSH NAGAR,29-Nov-20,06:00,UNKNOWN,Self,0,1,0,0,,0,0,52,Male,Pedestrian,,,,,,,,,NR PANCHWATI RED LIGHT,GTK ROAD,28.713614,77.173117,0,1,Hit and run
359,266,ALIPUR,09-Jun-20,03:42,Tempo/ Tractor,TWW,0,0,0,0,Tempo/ Tractor,1,1,,Male,,,,,,,,,,ALIPUR REDLIGHT,GTK ROAD,28.795976,77.143745,1,1,
360,415,ALIPUR,01-Sep-20,00:40,Heavy vehicles,Pedestrians,0,0,0,0,Heavy vehicles,0,1,34,Male,Driver,,,,,,,,,INF JAIN MANDIR GTK ROAD,GTK ROAD,28.791382,77.142862,0,1,
361,429,ALIPUR,14-Sep-20,23:00,Car/ Jeep/ Van/ Taxi,Pedestrians,0,1,0,0,,0,0,25,Male,Pedestrian,,,,,,,,Male,G-29 KHERA KALAN,MINOR ROADS,28.772199,77.118628,0,1,
362,438,ALIPUR,24-Sep-20,07:55,UNKNOWN,TWW,0,1,0,0,,0,0,25,Male,Pedestrian,,,,,,,,,OPP CARNIVAL FARM SINGHU BORDE,GTK ROAD,28.8542,77.125135,0,1,Hit and run
363,439,ALIPUR,24-Sep-20,20:29,Motorised two wheeler,Pedestrians,0,0,1,1,,0,0,25,Male,Driver,,,,,,,,,AFTER PALL VILLLAGE AKBARPUR,PALLA ROAD,28.843492,77.180972,1,1,
364,516,ALIPUR,01-Nov-20,13:30,Tempo/ Tractor,TWW,0,0,0,0,Handcart,0,1,30,Male,Driver,,,,,,,,,TOWARD SING BORDER GTK RD,GTK ROAD,28.788951,77.141332,0,1,
365,18,ALIPUR,17-Jan-20,22:00,Car/ Jeep/ Van/ Taxi,Pedestrians,0,0,1,1,,0,0,31,Male,Driver,,,,,,,,,RAMJANPUR BAKHTAWARPUR VILL,MINOR ROADS,28.810105,77.175741,1,1,
366,23,ALIPUR,21-Jan-20,22:15,UNKNOWN,TWW,0,1,0,0,,0,0,35,Male,Pedestrian,,,,,,,,,OPP. CLOUD FARM HOUSE,MINOR ROADS,28.784803,77.140934,0,1,Hit and run
367,25,ALIPUR,22-Jan-20,08:00,UNKNOWN,Pedestrians,0,0,0,1,,0,0,35,Male,Driver,,,,,,,,,NR SINGHU GAON TOLL TAX SINGHU,MINOR ROADS,28.855188,77.125319,0,1,Hit and run
368,52,ALIPUR,24-Feb-20,06:15,UNKNOWN,Pedestrians,0,1,0,0,,0,0,,Male,Pedestrian,,,,,,,,,NR SINGHU BORDER,GTK ROAD,28.788951,77.141332,0,1,Hit and run
369,63,ALIPUR,07-Mar-20,Unknown,UNKNOWN,TWW,0,1,0,0,,0,0,68,Male,Pedestrian,,,,,,,,,NR YADAV GREEN ALIPUR,GTK ROAD,28.807808,77.138994,0,1,Hit and run
370,138,ALIPUR,07-Apr-20,06:30,UNKNOWN,Pedestrians,0,0,0,1,,0,0,59,Male,Driver,,,,,,,,,HAMIDPUR JAATI ROAD,MINOR ROADS,28.840771,77.152754,0,1,Hit and run
371,193,ALIPUR,25-Apr-20,18:57,UNKNOWN,Self,0,1,0,0,,0,0,48,Male,Pedestrian,,,,,,,,,KARNAL BY PASS TO SINGHU BORDE,GTK ROAD,28.825863,77.131868,0,1,Hit and run
372,216,ALIPUR,10-May-20,14:40,Motorised two wheeler,TWW,0,0,1,1,,0,0,30,Female,Passenger,,,,,,,,,CORNER PAMGREEN HOTEL BAKOLI,MINOR ROADS,28.81725,77.134911,1,1,
373,258,ALIPUR,09-Jun-20,20:30,Heavy vehicles,TWW,0,0,0,2,,,,,,,,,,,,,,,OPP SINGHU VILL BUS STAND,GTK ROAD,28.841846,77.12142,0,2,
374,271,ALIPUR,20-Jun-20,06:30,UNKNOWN,Pedestrians,0,0,0,1,,0,0,50,Male,Driver,,,,,,,,,ALIPUR DELHI,MINOR ROADS,28.840007,77.127236,0,1,Hit and run
375,296,ALIPUR,10-Jul-20,18:30,Car/ Jeep/ Van/ Taxi,TWW,0,1,0,0,,,,,Female,Pedestrian,,,,,,,35,Female,NEAR SINGHU VILLAGE,GTK ROAD,28.860433,77.124041,0,1,speeding
376,304,ALIPUR,16-Jul-20,08:00,UNKNOWN,TWW,0,0,0,1,,0,0,,Male,Driver,,,,,,,,,NR SINGHOOLA RED LIGHT,GTK ROAD,28.84442,77.126952,0,1,Hit and run
377,362,ALIPUR,02-Aug-20,04:53,UNKNOWN,Pedestrians,0,0,1,1,,0,0,24,Male,Driver,,,,,,,,,OPP MITHAS FARM ALIPUR,GTK ROAD,28.792524,77.14364,1,1,Hit and run
378,399,ALIPUR,24-Aug-20,15:19,UNKNOWN,Pedestrians,0,1,0,0,,0,0,35,Male,,,,,,,,,,BAKOLI BUS STAND BHARAT P PUMP,GTK ROAD,28.796489,77.139469,0,1,Hit and run
379,411,ALIPUR,30-Aug-20,21:00,UNKNOWN,Pedestrians,0,1,0,0,,0,0,50,Male,,,,,,,,,,N.I.T. GTK ROAD,GTK ROAD,28.804067,77.142671,0,1,Hit and run
380,445,ALIPUR,28-Sep-20,00:30,UNKNOWN,Pedestrians,0,1,0,0,,0,0,,,,,,,,,,,,NR PALL ARED LIGHT ALIPUR,GTK ROAD,28.803239,77.143379,0,1,Hit and run
381,474,ALIPUR,11-Oct-20,07:46,Heavy vehicles,TWW,0,1,0,0,,,,24,Male,Pedestrian,,,,,,,,Male,INF KHAMPUR FRUIT MANDI,GTK ROAD,28.832627,77.129894,0,1,hit and run
382,484,ALIPUR,14-Oct-20,20:30,Car/ Jeep/ Van/ Taxi,Pedestrians,0,0,1,1,,0,0,24,Male,Driver,,,,,,,,,NR TIVOLI HOTEL TWDS BY PASS,GTK ROAD,28.789204,77.141953,1,1,Hit and run
383,499,ALIPUR,20-Oct-20,18:30,Bus,TWW,0,1,0,0,,,,,Male,Pedestrian,,,,,,,,Male,TIKRI KHAMPUR NR JAL BOARD OFF,GTK ROAD,28.834931,77.129173,0,1,hit and run
384,530,ALIPUR,07-Nov-20,21:30,UNKNOWN,TWW,0,0,0,1,,0,0,32,Male,Driver,,,,,,,,,CHHOTI JANTI TOL TAX,MINOR ROADS,28.837791,77.151538,0,1,Hit and run
385,590,ALIPUR,20-Dec-20,18:30,Car/ Jeep/ Van/ Taxi,TWW,0,0,0,1,,0,0,50,Male,Driver,,,,,,,,,PALLA RED LIGHT SE BY PASS JAN,GTK ROAD,28.803599,77.14287,0,1,speeding
386,1,ASHOK VIHAR,01-Jan-20,23:45,Car/ Jeep/ Van/ Taxi,Pedestrians,0,0,1,0,Car/ Jeep/ Van/ Taxi,0,1,29,Male,Driver,,,,,,,31,Male,RICHI RICH BUS STAND,RING ROAD,28.701078,77.162287,1,1,
387,68,ASHOK VIHAR,16-Mar-20,19:15,Car/ Jeep/ Van/ Taxi,TWW,0,1,0,0,,0,0,82,Female,Pedestrian,,,,,,,,Male,G BLOCK ASHOK VIHAR PH I,MINOR ROADS,28.685347,77.166666,0,1,
388,289,ASHOK VIHAR,01-Jul-20,14:15,Car/ Jeep/ Van/ Taxi,TWW,0,0,0,1,,0,0,,Male,Driver,,,,,,,,,OPO B 61 WAZIRPUR,MINOR ROADS,28.698981,77.168658,0,1,
389,340,ASHOK VIHAR,03-Aug-20,21:00,Car/ Jeep/ Van/ Taxi,TWW,0,0,0,1,,0,0,35,Male,Passenger,,,,,,,,,"INF METRO STN GATE NO5, ASHOK",RING ROAD,28.693445,77.153026,0,1,
390,356,ASHOK VIHAR,08-Aug-20,06:25,Heavy vehicles,TWW,0,0,0,1,,0,0,,Male,Driver,,,,,,,,Male,"NR PREM BADI PUL, FOB",RING ROAD,28.695356,77.155109,0,1,
391,62,BHALASWA DAIRY,26-Jan-20,23:30,Heavy vehicles,Pedestrians,0,0,0,1,,0,0,55,Female,Passenger,,,,,,,,,SWAROOP NAGAR TOWARDS MUKARBA,GTK ROAD,28.752105,77.149777,0,1,
392,92,BHALASWA DAIRY,15-Feb-20,10:00,Car/ Jeep/ Van/ Taxi,Pedestrians,0,1,0,0,,0,0,7,Male,Pedestrian,,,,,,,,Male,"GALI NO.4. A BLK, MUKUNDPUR",MINOR ROADS,28.74525,77.18465,0,1,
393,339,BHALASWA DAIRY,21-May-20,18:45,UNKNOWN,Pedestrians,0,1,0,0,,0,0,21,Male,Pedestrian,,,,,,,,,NH1 NR BYPASS BHALSWA DAIRY,GTK ROAD,28.738457,77.154473,0,1,Hit and run
394,396,BHALASWA DAIRY,04-Jul-20,05:00,Tempo/ Tractor,Self,0,1,0,0,,0,0,,,Pedestrian,,,,,,,,,NEAR MUKARBA CHOWK,OUTER RING ROAD,28.736648,77.154758,0,1,
395,481,BHALASWA DAIRY,09-Aug-20,13:30,Heavy vehicles,TWW,0,0,0,0,Heavy vehicles,2,1,30,Male,Driver,,,,,,,30,Male,BHALSWA KHATTA,MINOR ROADS,28.737847,77.157008,2,1,
396,563,BHALASWA DAIRY,27-Sep-20,22:53,Motorised two wheeler,Pedestrians,0,0,2,1,,0,0,,Male,,,,,,,,,Male,NR POLICE CHOWKI MUKUND PUR BU,BURARI ROAD,28.742497,77.166043,2,1,
397,670,BHALASWA DAIRY,03-Dec-20,22:40,UNKNOWN,TWW,0,1,0,0,,0,0,37,Male,Pedestrian,,,,,,,,,OPP SANJAY GANDHI TRANSPORT NG,GTK ROAD,28.736648,77.154758,0,1,Hit and run
398,380,BHARAT NAGAR,14-May-20,23:20,UNKNOWN,Pedestrians,0,0,0,1,,0,0,,Male,Self,,,,,,,,,NR RAMLEELA GROUND ASHOK VIHAR,MINOR ROADS,28.71062,77.17642,0,1,Hit and run
399,422,BHARAT NAGAR,26-Jun-20,15:57,UNKNOWN,TWW,0,0,0,1,,0,0,50,Male,,,,,,,,,,JJ COLONY WAZIRPUR DELHI,MINOR ROADS,28.68195,77.17017,0,1,Hit and run
400,575,BHARAT NAGAR,14-Oct-20,11:50,Tempo/ Tractor,TWW,0,0,0,1,,0,0,64,Male,,,,,,,,,,NR LB COLLEGE RED LIGHT,SWAMI NARAIN MARG,28.67092,77.18401,0,1,
401,12,BURARI,06-Jan-20,22:30,UNKNOWN,TMP,0,0,0,1,,0,0,,Male,Driver,,,,,,,,,GAUSHALA RD NALA RASTA SUNIL C,MINOR ROADS,28.764803,77.197573,0,1,Hit and run
402,86,BURARI,14-Feb-20,14:50,Tempo/ Tractor,ERC,0,0,0,0,Tempo/ Tractor,1,1,48,Male,Driver,,,,,,,22,Male,BURARI FLYOVER,OUTER RING ROAD,28.728386,77.19858,1,1,
