S. no.,FIR No.,Police station,Date of crash ,Time of crash (24 hr format),Responsible road user,Victim user type (as per Delhi Traffic Police),Pedestrian Injured ,Pedestrian killed,MTW Injured,MTW killed,Other vehicle type involved,Injured (other vehicle),Fatalities (other vehicle),Age (killed 1),Gender (killed 1),Road user type (killed 1),Age (killed 2),Gender (killed 2),Road user type (killed 2),Age (killed 3),Gender (killed 3),Road user type (killed 2),Responsible road user Age,Responsible road user Gender,Place of occurrence,Road name,Geocordinates (Latitude),Geocordinates (longitude),Total injured,Total killed,If offending vehicle is Unknown Reason unknown; eg: hit and run
23,148,I.P. ESTATE,22-Jul-20,23:00,UNKNOWN,TWW,0,0,0,1,,0,0,48,Male,Driver,,,,,,,,,LAXMI NAGAR PHQ,VIKAS MARG,28.62802,77.243012,0,1,Hit and run
24,215,I.P. ESTATE,18-Oct-20,20:40,Auto-rickshaw- TSR,Car,0,0,0,0,Bicycle,0,1,36,Male,Cyclist,,,,,,,,,YAMUN BRIDGE,VIKAS MARG,28.627914,77.253482,0,1,
25,229,I.P. ESTATE,06-Nov-20,04:47,Heavy vehicles,Pedestrians,0,0,0,0,Car/ Jeep/ Van/ Taxi,4,1,,Male,Passenger,,,,,,,,,NR IP METRO STATION,RING ROAD BYPASS,28.620293,77.248883,4,1,
26,6,JAMA MASJID,18-Jan-20,00:00,Heavy vehicles,Pedestrians,0,1,0,0,,0,0,25,Male,Pedestrian,,,,,,,50,Male,INF SHULABH SHOCHALAYA MEENA B,MINOR ROADS,28.65289,77.235603,0,1,
27,4,KAMLA MARKET,02-Jan-20,Unknown,UNKNOWN,TWW,0,1,0,0,,0,0,,Male,Pedestrian,,,,,,,,,NEAR BUS STAND ZAKIR HUSAIN CO,JAWAR LAL NEHRU RD,28.64131,77.22937,0,1,Hit and run
28,86,KAROL BAGH,09-Mar-20,22:20,UNKNOWN,TWW,0,0,0,1,,0,0,34,Male,Driver,,,,,,,,,NR METRO STATION KAROL BAGH GU,PUSA ROAD,28.643701,77.187079,0,1,Hit and run
29,93,KAROL BAGH,14-Mar-20,21:45,UNKNOWN,Pedestrians,0,0,0,1,,0,0,,Male,Driver,,,,,,,,,GURU NANAK MKT METRO P.N 112A,PUSA ROAD,28.643689,77.18692,0,1,Hit and run
30,344,KAROL BAGH,30-Jul-20,00:00,UNKNOWN,Self,0,1,0,0,,0,0,52,Male,Pedestrian,,,,,,,,,"SHOP NO 2328, ON RD ARYA SAMAJ",ARYA SAMAJ ROAD,28.649099,77.191391,0,1,Hit and run
31,110,MANDIR MARG,20-Sep-20,21:00,Motorised two wheeler,Pedestrians,0,0,0,1,,0,0,46,Male,Driver,,,,,,,46,Male,NR RK ASHRAM METRO STATION MET,PANCHKUIAN ROAD,28.639641,77.208044,0,1,
32,18,PAHAR GANJ,12-Jan-20,21:30,Motorised two wheeler,TWW,0,1,1,0,,0,0,31,Male,Pedestrian,,,,,,,22,Male,OPP SHOP NO 98 CHITRA GUPTA RD,CHITRA GUPTA ROAD,28.641144,77.208505,1,1,
33,195,PAHAR GANJ,21-Aug-20,23:50,Auto-rickshaw- TSR,Pedestrians,0,0,1,1,,0,0,,Male,Driver,,,,,,,,,INF OF CGHS DISPENSARY CHITRA,CHITRA GUPTA ROAD,28.641772,77.208656,1,1,
34,299,PAHAR GANJ,14-Nov-20,16:00,UNKNOWN,Pedestrians,0,1,0,0,,0,0,79,Male,Pedestrian,,,,,,,,,"MAIN BAZAR RD NR HOME, PG",MINOR ROADS,28.641089,77.213682,0,1,Hit and run
35,315,PRASHAD NAGAR,07-Dec-20,20:30,UNKNOWN,Pedestrians,0,1,0,0,,0,0,44,Male,Pedestrian,,,,,,,,,KIKARWALA CHOWK DEV NGR,ARYA SAMAJ ROAD,28.651573,77.186667,0,1,Hit and run
36,210,SADAR BAZAR,06-Oct-20,04:14,Heavy vehicles,TWW,0,1,0,0,,0,0,,Male,Pedestrian,,,,,,,25,Male,INF MCD PARKING NR PIPAL WALI,SADAR THANA ROAD,28.653614,77.211135,0,1,
37,22,DELHI CANNT,18-Jan-20,12:10,Other,TWW,0,0,0,1,,0,0,42,Male,Driver,,,,,,,,Male,NR DELHI CANT BUS STAND,SADAR THANA MARG,28.595249,77.122646,0,1,Hit and run
38,23,DELHI CANNT,18-Jan-20,16:00,UNKNOWN,TWW,0,0,0,1,,0,0,40,Male,Driver,,,,,,,,,DWARKA UNDERPASS,DWARAKA FLYOVER ROAD,28.546309,77.059313,0,1,Hit and run
