PS_ID,PS_State,PS_Name,PS_Dist
138,Delhi,Ranjit Nagar,Delhi
139,Delhi,Roop Nagar,Delhi
140,Delhi,Sabzi Mandi,Delhi
141,Delhi,Sadar Bazar,Delhi
142,Delhi,Safdarjung Enclave,Delhi
143,Delhi,Sagar Pur,Delhi
144,Delhi,Saket,Delhi
145,Delhi,SamayPurBadli,Delhi
146,Delhi,SangamVihar,Delhi
147,Delhi,Sarai Rohilla,Delhi
148,Delhi,Sarita Vihar,Delhi
149,Delhi,Sarojini Nagar,Delhi
150,Delhi,Sector-23 Dwarka,Delhi
151,Delhi,Seelampur,Delhi
152,Delhi,Seema Puri,Delhi
153,Delhi,Shahbad Dairy,Delhi
154,Delhi,Shahdara,Delhi
155,Delhi,ShaheenBagh,Delhi
156,Delhi,ShakarPur,Delhi
157,Delhi,Shalimar Bagh,Delhi
158,Delhi,Shastri Park,Delhi
159,Delhi,Sonia Vihar,Delhi
160,Delhi,South Avenue,Delhi
161,Delhi,South Campus,Delhi
162,Delhi,South Rohini,Delhi
163,Delhi,Subhash Place,Delhi
164,Delhi,Sultan Puri,Delhi
165,Delhi,Sunlight Colony,Delhi
166,Delhi,Swarup Nagar,Delhi
167,Delhi,TilakMarg,Delhi
168,Delhi,Tigri,Delhi
169,Delhi,Tilak Nagar,Delhi
170,Delhi,TimarPur,Delhi
171,Delhi,Tughlak Road,Delhi
172,Delhi,UttamNagar,Delhi
184,Delhi,Vasant Kunj (North),Delhi
185,Delhi,Vasant Kunj (South),Delhi
186,Delhi,Vasant Vihar,Delhi
187,Delhi,Vijay Vihar,Delhi
188,Delhi,VikasPuri,Delhi
189,Delhi,Vivek Vihar,Delhi
190,Delhi,Wazirabad,Delhi
445,Delhi,Welcome,Delhi
449,Delhi,Moti Nagar,Delhi
