Auto_Date,Auto_Time,Vehicle_ID,Crash_ID,Vehicle_Type,Impacting_VehOrObject,Veh_Reg_Number,Veh_Make,Veh_Model,Veh_Model_Year,Veh_TrafficViolation,Veh_Manoeuvre_at_Crash,Veh_Loading_Condition,Veh_Mechanical_Failure,Veh_Hazardous_Cargo,Vehicle_Fire,Veh_Disposition,Combo48
25-Aug-22,11:17 AM,5102,3446,Multi-Axle Heavy Commercial Vehicle,MTW - Motorcycle Light,HR 67C 3425,,,,,,,,,,,
25-Aug-22,11:17 AM,5103,3446,MTW - Motorcycle Light,Multi-Axle Heavy Commercial Vehicle,UP 14DS 9979,,,,,,,,,,,
25-Aug-22,11:17 AM,5104,3447,Unknown,MTW - Motorcycle Light,,,,,,,,,,,,
25-Aug-22,11:17 AM,5105,3447,MTW - Motorcycle Light,Unknown,HR 26ED 5649,,,,,,,,,,,
25-Aug-22,11:17 AM,5106,3448,Multi-Axle Heavy Commercial Vehicle,MTW - Motorcycle Light,HR 69A 7014,,,,,,,,,,,
25-Aug-22,11:17 AM,5107,3448,MTW - Motorcycle Light,Multi-Axle Heavy Commercial Vehicle,DL 8SBW 1594,,,,,,,,,,,
25-Aug-22,11:17 AM,5108,3449,Car - Commercial,Car - Passenger,DL 1CAB 1586,,,,,,,,,,,
25-Aug-22,11:17 AM,5109,3449,Car - Commercial,Car - Commercial,PB 11BT 0902,,,,,,,,,,,
25-Aug-22,11:17 AM,5110,3450,Unknown,Car - Commercial,DL 8CAS 0235,,,,,,,,,,,
25-Aug-22,11:17 AM,5111,3451,"Articulated Vehicle, Tractor Trailor",MTW - Motorcycle Light,DL 1LW 9268,,,,,,,,,,,
25-Aug-22,11:17 AM,5112,3451,MTW - Motorcycle Light,"Articulated Vehicle, Tractor Trailor",DL 9SW 0198,,,,,,,,,,,
25-Aug-22,11:17 AM,5113,3452,Unknown,MTW - Scooter/Moped,,,,,,,,,,,,
25-Aug-22,11:17 AM,5114,3452,MTW - Scooter/Moped,Unknown,DL 5SCE 8101,,,,,,,,,,,
25-Aug-22,11:17 AM,5115,3453,Two-Axle Medium Commercial Vehicle,Car - Commercial,DL 1GL 8286,,,,,,,,,,,
25-Aug-22,11:17 AM,5116,3453,Car - Commercial,Two-Axle Medium Commercial Vehicle,DL 8CAH 3688,,,,,,,,,,,
25-Aug-22,11:17 AM,5117,3454,Unknown,Car - Commercial,,,,,,,,,,,,
25-Aug-22,11:17 AM,5118,3454,Car - Commercial,Unknown,DL 9CAR 3875,,,,,,,,,,,
25-Aug-22,11:17 AM,5119,3455,Car - Commercial,Pedestrian,DL 8C9 8244,,,,,,,,,,,
25-Aug-22,11:17 AM,5120,,,,,,,,,,,,,,,
25-Aug-22,11:17 AM,5121,3456,"Articulated Vehicle, Tractor Trailor",Car - Commercial,HR 10AG 8318,,,,,,,,,,,
25-Aug-22,11:17 AM,5122,3456,Car - Commercial,"Articulated Vehicle, Tractor Trailor",DL 9CAQ 4413,,,,,,,,,,,
25-Aug-22,11:17 AM,5123,3457,Unknown,Pedestrian,,,,,,,,,,,,
25-Aug-22,11:17 AM,5124,3458,Multi-Axle Heavy Commercial Vehicle,Multi-Axle Heavy Commercial Vehicle,MP 07HB 3432,,,,,,,,,,,
25-Aug-22,11:17 AM,5125,3458,Multi-Axle Heavy Commercial Vehicle,Multi-Axle Heavy Commercial Vehicle,HR 38X 8536,,,,,,,,,,,
25-Aug-22,11:17 AM,5126,3459,Car - Commercial,Pedestrian,DL 10CF 8409,,,,,,,,,,,
25-Aug-22,11:17 AM,5127,3460,Unknown,Pedestrian,,,,,,,,,,,,
25-Aug-22,11:17 AM,5128,3461,Unknown,Pedestrian,,,,,,,,,,,,
25-Aug-22,11:17 AM,5129,3461,Unknown,Pedestrian,,,,,,,,,,,,
25-Aug-22,11:17 AM,5130,3463,Light Commercial Vehicle,Pedestrian,DL 1LAD 3798,,,,,,,,,,,
