Auto_Date,Auto_Time,Form_No,Entry_Personnel,Filled_Date,FIR_No,Police_Station,Time_Of_Crash,Date_Of_Crash,Collision_Type,Hit_and_Run,Special_Case,Case File Available,Crash_Severity,No_Of_ Fatalities,No_Of_ Injured,No_Of_Vehicles,Location,Road_Type,Road_1,Road_2,Road_3,GPS_Lat,GPS_Long,Note,No_of_Lanes,Curb_Type,Shoulder_Type,Median_Type,Light_Condition,Weather_Condition,Crash_ID,Distance_From_Landmark,Text97,Veh_Rel_Travel_Dir
12-09-2022,08:48 AM,21190,Ashwani,15-Jun-22,0190,164,09:07,21-03-2021,Unknown,TRUE,FALSE,FALSE,Fatal Crash,1,0,2,Unknown,,"MG Road ,",Near Qutab Minar Metro Station,New Delhi,29,77,A bicycle rider was hit by unknown vehicle .,,,,,,,3446,3,,Unknown
12-09-2022,08:48 AM,210164,Ashwani,15-Jun-21,0164,90,21:20,27-12-2021,Hit Pedestrian,TRUE,FALSE,FALSE,Fatal Crash,1,0,1,Unknown,,Near Udhyan Marg,CNG Pump,,29,77,Unknown pedestrian was hit by unknown vehicle .,,,,,,,3447,0,,Unknown
12-09-2022,08:48 AM,210105,Ashwani,15-Jun-22,0105,91,03:00,11-02-2021,Single Vehicle Overturn,FALSE,FALSE,FALSE,Fatal Crash,1,0,1,Unknown,,Anukampa Chowk,Road no 43,,29,77,A car crashed due to unknown reasons killing the driver .,,,,,,,3448,0,,Not Applicable
12-09-2022,08:48 AM,210629,Ashwani,15-Jun-22,0629,93,01:41,07-02-2021,Backend Collision,FALSE,FALSE,FALSE,Fatal Crash,1,0,2,Unknown,,Near VIPS College Pitampurma,DR KB Hedgewar Road,,29,77,A bike rider was hit by truck .,,,,,,,3449,0,,Same Direction
12-09-2022,08:48 AM,210715,Ashwani,15-Jun-22,0715,100,04:15,12-07-2021,Head on Collision,TRUE,FALSE,FALSE,Fatal Crash,1,0,2,Unknown,,Near Ghewra Metro station,"Mundka ,",Rohtak Road,29,77,"A bike was hit by unknown truck , the pillion rider was injured and later died .",,,,,,,3450,0,,Same Direction
12-09-2022,08:48 AM,210633,Ashwani,15-Jun-22,0633,104,18:00,01-09-2021,Hit Pedestrian,FALSE,FALSE,FALSE,Fatal Crash,1,1,1,Unknown,,Near Surajmal Stadium Nangloi,Rohtak road,,29,77,"Two pedesrtian were hit by a car  , killing one and injuring other.",,,,,,,3451,0,,Unknown
12-09-2022,08:48 AM,210090,Ashwani,15-Jun-22,0090,112,12:50,12-02-2021,Unknown,TRUE,FALSE,FALSE,Fatal Crash,1,0,2,Unknown,,Near Khada Chowk,Abchal Nagar,,29,77,A motorcyclist was hit by car .,,,,,,,3452,0,,Unknown
12-09-2022,08:48 AM,210465,Ashwani,15-Jun-22,0465,118,01:30,26-11-2021,Hit Pedestrian,TRUE,FALSE,FALSE,Fatal Crash,1,0,1,Unknown,,Paharganj chowk,Desh Bandu Gupta Road,,29,77,A pedestrian was hit by a unknown truck .,,,,,,,3453,0,,Unknown
12-09-2022,08:48 AM,210455,Ashwani,15-Jun-22,0455,133,08:40,24-06-2021,Unknown,TRUE,FALSE,FALSE,Fatal Crash,1,0,2,Unknown,,Phase 1 Near Petrol Pump,mangolpuri,,29,77,"An E Rickshaw was hit by a car , killing one passenger of E Rickshaw.",,,,,,,3454,0,,Unknown
