Auto_Date,Auto_Time,Vehicle_ID,Crash_ID,Vehicle_Type,Impacting_VehOrObject,Veh_Reg_Number,Veh_Make,Veh_Model,Veh_Model_Year,Veh_TrafficViolation,Veh_Manoeuvre_at_Crash,Veh_Loading_Condition,Veh_Mechanical_Failure,Veh_Hazardous_Cargo,Vehicle_Fire,Veh_Disposition,Combo48
12-Sep-22,08:45 AM,5102,3446,Two_Axle Heavy Commercial Vehicle,Pedestrian,HR 55 AH 5342,,,,,Driving Straight,,,,,,
12-Sep-22,08:45 AM,5103,3446,Two_Axle Heavy Commercial Vehicle,Two_Axle Heavy Commercial Vehicle,RJ 14 GH 4845,,,,,Parked / Stationary Vehicle,,,,,,
12-Sep-22,08:45 AM,5104,3447,Two-Axle Medium Commercial Vehicle,MTW - Scooter/Moped,UP 38 T 3260,,,,,,,,,,,
12-Sep-22,08:45 AM,5105,3447,MTW - Scooter/Moped,Two-Axle Medium Commercial Vehicle,DL 11 SJ 1388,,,,,,,,,,,
12-Sep-22,08:45 AM,5106,3448,Unknown,Pedestrian,,,,,,,,,,,,
12-Sep-22,08:45 AM,5107,3449,Unknown,MTW - Motorcycle Light,,,,,,,,,,,,
12-Sep-22,08:45 AM,5108,3449,MTW - Motorcycle Light,Unknown,DL 11 SP 7496,,,,,,,,,,,
12-Sep-22,08:45 AM,5109,3450,Unknown,Pedestrian,,,,,,,,,,,,
12-Sep-22,08:45 AM,5110,3450,,,,,,,,,,,,,,
12-Sep-22,08:45 AM,5111,3451,Two_Axle Heavy Commercial Vehicle,MTW - Motorcycle Light,HR 55V 8485,,,,,,,,,,,
12-Sep-22,08:45 AM,5112,3451,MTW - Motorcycle Light,Two_Axle Heavy Commercial Vehicle,DL 1SX 8072,,,,,,,,,,,
12-Sep-22,08:45 AM,5113,3452,Two-Axle Medium Commercial Vehicle,MTW - Motorcycle Light,HR 67 C 3425,,,,,,,,,,,
12-Sep-22,08:45 AM,5114,3452,MTW - Motorcycle Light,Two-Axle Medium Commercial Vehicle,UP 14 DS 9979,,,,,,,,,,,
12-Sep-22,08:45 AM,5115,3453,Unknown,MTW - Motorcycle Light,unknown,,,,,,,,,,,
12-Sep-22,08:45 AM,5116,3453,MTW - Motorcycle Light,Unknown,HR 26 ED 5649,,,,,,,,,,,
12-Sep-22,08:45 AM,5117,3453,,,,,,,,,,,,,,
12-Sep-22,08:45 AM,5118,3454,Unknown,Pedestrian,,,,,,,,,,,,
12-Sep-22,08:45 AM,5119,3455,MTW - Motorcycle Light,Unknown,DL 10 SH 5338,,,,,,,,,,,
12-Sep-22,08:45 AM,5120,3456,"Three Wheeler - Passenger, Commercial",MTW - Scooter/Moped,DL 1 RS 6935,,,,,,,,,,,
12-Sep-22,08:45 AM,5121,3456,MTW - Scooter/Moped,"Three Wheeler - Passenger, Commercial",DL 12 SE 7254,,,,,,,,,,,
12-Sep-22,08:45 AM,5122,3457,MTW - Motorcycle Light,Unknown,DL 6 SN 5392,,,,,,,,,,,
12-Sep-22,08:45 AM,5123,3458,Unknown,Pedestrian,,,,,,,,,,,,
12-Sep-22,08:45 AM,5124,3459,MTW - Motorcycle Light,Not Applicable,,,,,,,,,,,,
12-Sep-22,08:45 AM,5125,3460,Bus,Pedestrian,DL 1PD 4452,,,,,,,,,,,
12-Sep-22,08:45 AM,5126,3461,Car - Passenger,MTW - Motorcycle Light,HR 36 AG 4577,,,,,,,,,,,
12-Sep-22,08:45 AM,5127,3461,MTW - Motorcycle Light,Car - Passenger,DL 6 SAT 7813,,,,,,,,,,,
12-Sep-22,08:45 AM,5128,3462,Unknown,Pedestrian,,,,,,,,,,,,
12-Sep-22,08:45 AM,5129,3463,"Car - Jeep, Passenger",Unknown,DL 2CAV 6653,,,,,,,,,,,
12-Sep-22,08:45 AM,5130,3464,Unknown,MTW - Motorcycle Light,,,,,,,,,,,,
12-Sep-22,08:45 AM,5131,3464,MTW - Motorcycle Light,Unknown,DL 6SAV 1366,,,,,,,,,,,
12-Sep-22,08:45 AM,5132,3465,Bus,MTW - Scooter/Moped,,,,,,,,,,,,
12-Sep-22,08:45 AM,5133,3465,MTW - Scooter/Moped,Two-Axle Medium Commercial Vehicle,DL 8SBS 1866,,,,,,,,,,,
12-Sep-22,08:45 AM,5134,3466,Two_Axle Heavy Commercial Vehicle,MTW - Scooter/Moped,,,,,,,,,,,,
12-Sep-22,08:45 AM,5135,3466,MTW - Scooter/Moped,Two_Axle Heavy Commercial Vehicle,DL 4SDD 4965,,,,,,,,,,,
12-Sep-22,08:45 AM,5136,3467,"Three Wheeler - Passenger, Commercial",Pedestrian,DL 1 RZ 8314,,,,,,,,,,,
12-Sep-22,08:45 AM,5137,3467,Light Commercial Vehicle,"Three Wheeler - Passenger, Commercial",DL 1 LAB 1007,,,,,,,,,,,
12-Sep-22,08:45 AM,5138,3468,Unknown,Pedestrian,,,,,,,,,,,,
12-Sep-22,08:45 AM,5139,3468,Not Applicable,Unknown,,,,,,,,,,,,
12-Sep-22,08:45 AM,5140,3469,Unknown,MTW - Motorcycle Light,,,,,,,,,,,,
12-Sep-22,08:45 AM,5141,3469,MTW - Motorcycle Light,Unknown,DL 11 SK 1627,,,,,,,,,,,
12-Sep-22,08:45 AM,5142,3470,Unknown,Pedestrian,,,,,,,,,,,,
12-Sep-22,08:45 AM,5143,3470,Not Applicable,Unknown,,,,,,,,,,,,
12-Sep-22,08:45 AM,5144,3471,MTW - Motorcycle Light,Unknown,DL 7SBB 9111,,,,,,,,,,,
12-Sep-22,08:45 AM,5145,3472,Unknown,MTW - Motorcycle Light,,,,,,,,,,,,
12-Sep-22,08:45 AM,5146,3472,MTW - Motorcycle Light,Unknown,DL 10 SZ 4106,,,,,,,,,,,
12-Sep-22,08:45 AM,5147,3473,Unknown,MTW - Motorcycle Light,,,,,,,,,,,,
12-Sep-22,08:45 AM,5148,3473,MTW - Motorcycle Light,Unknown,DL 12 SQ 1158,,,,,,,,,,,
12-Sep-22,08:45 AM,5149,3474,MTW - Motorcycle Light,Other Road Infrastructure,,,,,,,,,,,,
12-Sep-22,08:45 AM,5150,3476,Unknown,MTW - Motorcycle Light,,,,,,,,,,,,
12-Sep-22,08:45 AM,5151,3476,MTW - Motorcycle Light,Unknown,DL 5SBM 8217,,,,,,,,,,,
12-Sep-22,08:45 AM,5152,3477,Unknown,Pedestrian,,,,,,,,,,,,
12-Sep-22,08:45 AM,5153,3478,Unknown,Pedestrian,,,,,,,,,,,,
12-Sep-22,08:45 AM,5154,3479,Unknown,MTW - Scooter/Moped,,,,,,,,,,,,
12-Sep-22,08:45 AM,5155,3479,MTW - Scooter/Moped,Unknown,DL 5SCE 4208,,,,,,,,,,,
12-Sep-22,08:45 AM,5156,3480,Light Commercial Vehicle,Hand Drawn Vehicle,DL 1 LAC 2925,,,,,,,,,,,
12-Sep-22,08:45 AM,5157,3480,Hand Drawn Vehicle,Hand Drawn Vehicle,,,,,,,,,,,,
12-Sep-22,08:45 AM,5158,3481,Unknown,Pedestrian,,,,,,,,,,,,
12-Sep-22,08:45 AM,5159,3482,Unknown,MTW - Motorcycle Light,,,,,,,,,,,,
12-Sep-22,08:45 AM,5160,3482,MTW - Motorcycle Light,Unknown,DL 1D 9581,,,,,,,,,,,
12-Sep-22,08:45 AM,5161,3483,Unknown,MTW - Scooter/Moped,,,,,,,,,,,,
12-Sep-22,08:45 AM,5162,3483,MTW - Scooter/Moped,Unknown,DL 8SCU 8723,,,,,,,,,,,
12-Sep-22,08:45 AM,5163,3484,Unknown,Pedestrian,,,,,,,,,,,,
12-Sep-22,08:45 AM,5164,3485,Car - Passenger,Cycle Rickshaw,,,,,,,,,,,,
12-Sep-22,08:45 AM,5165,3485,Cycle Rickshaw - Manual,Car - Passenger,,,,,,,,,,,,
12-Sep-22,08:45 AM,5166,3486,Two_Axle Heavy Commercial Vehicle,MTW - Motorcycle Light,,,,,,,,,,,,
12-Sep-22,08:45 AM,5167,3486,MTW - Motorcycle Light,Two_Axle Heavy Commercial Vehicle,DL 6 SBA 6277,,,,,,,,,,,
12-Sep-22,08:45 AM,5168,3487,MTW - Scooter/Moped,Unknown,DL 10 SY 0810,,,,,,,,,,,
12-Sep-22,08:45 AM,5169,3488,"Car - Van, Passenger",MTW - Motorcycle Light,DL 1CZ 640,,,,,,,,,,,
12-Sep-22,08:45 AM,5170,3488,MTW - Motorcycle Light,"Car - Van, Passenger",DL 8 SBP 4766,,,,,,,,,,,
12-Sep-22,08:45 AM,5171,3489,Unknown,Pedestrian,,,,,,,,,,,,
12-Sep-22,08:45 AM,5172,3490,Unknown,Pedestrian,,,,,,,,,,,,
12-Sep-22,08:45 AM,5173,3491,Unknown,Pedestrian,,,,,,,,,,,,
12-Sep-22,08:45 AM,5174,3492,"Car - Jeep, Passenger",MTW - Motorcycle Light,HR 51AH 2597,,,,,,,,,,,
12-Sep-22,08:45 AM,5175,3492,MTW - Motorcycle Light,"Car - Jeep, Passenger",DL 55 BR 5185,,,,,,,,,,,
12-Sep-22,08:45 AM,5176,3493,Unknown,Pedestrian,,,,,,,,,,,,
12-Sep-22,08:45 AM,5177,3494,Light Commercial Vehicle,Bicycle - Manual,DL 1LAD 2560,,,,,,,,,,,
12-Sep-22,08:45 AM,5178,3494,Bicycle - Manual,Light Commercial Vehicle,,,,,,,,,,,,
12-Sep-22,08:45 AM,5179,3495,Unknown,MTW - Scooter/Moped,,,,,,,,,,,,
12-Sep-22,08:45 AM,5180,3495,MTW - Scooter/Moped,Unknown,DL  11 D9225,,,,,,,,,,,
12-Sep-22,08:45 AM,5181,3496,Two_Axle Heavy Commercial Vehicle,MTW - Scooter/Moped,DL 1GC 7065,,,,,,,,,,,
12-Sep-22,08:45 AM,5182,3496,MTW - Scooter/Moped,Two_Axle Heavy Commercial Vehicle,DL 7SCF 1613,,,,,,,,,,,
12-Sep-22,08:45 AM,5183,3497,Unknown,Pedestrian,,,,,,,,,,,,
12-Sep-22,08:45 AM,5184,3498,Unknown,Pedestrian,,,,,,,,,,,,
12-Sep-22,08:45 AM,5185,3499,Unknown,Pedestrian,,,,,,,,,,,,
12-Sep-22,08:45 AM,5186,3500,Two_Axle Heavy Commercial Vehicle,Pedestrian,DL 1 MA 1303,,,,,,,,,,,
12-Sep-22,08:45 AM,5187,3501,MTW - Scooter/Moped,Median,DL 14SN 7889,,,,,,,,,,,
12-Sep-22,08:45 AM,5188,3502,Unknown,MTW - Motorcycle Light,,,,,,,,,,,,
12-Sep-22,08:45 AM,5189,3502,MTW - Motorcycle Light,Unknown,DL 10 AB3098,,,,,,,,,,,
12-Sep-22,08:45 AM,5190,3503,Two_Axle Heavy Commercial Vehicle,Pedestrian,,,,,,,,,,,,
12-Sep-22,08:45 AM,5191,3504,"Car - Van, Passenger",MTW - Motorcycle Light,DL 1LB 6522,,,,,,,,,,,
12-Sep-22,08:45 AM,5192,3504,MTW - Motorcycle Light,"Car - Van, Passenger",DL 11SY8522,,,,,,,,,,,
12-Sep-22,08:45 AM,5193,3505,Unknown,MTW - Motorcycle Light,,,,,,,,,,,,
12-Sep-22,08:45 AM,5194,3505,MTW - Motorcycle Light,Unknown,DL 3SCV 1099,,,,,,,,,,,
12-Sep-22,08:45 AM,5195,3506,Unknown,MTW - Motorcycle Light,,,,,,,,,,,,
12-Sep-22,08:45 AM,5196,3506,MTW - Motorcycle Light,Unknown,JH 15 P 3598,,,,,,,,,,,
12-Sep-22,08:45 AM,5197,3507,MTW - Scooter/Moped,Unknown,DL 3SEM 3801,,,,,,,,,,,
12-Sep-22,08:45 AM,5198,3508,"Articulated Vehicle, Tractor Trailor",MTW - Motorcycle Light,,,,,,,,,,,,
