PS_ID,PS_Name,PS_Name_New,PS_State,PS_Dist,div_DCP,Sb_div_ACP,Circle_TI
57,JamaMasjid,Jama Masjid,Delhi,Delhi,Central,Kamla Market,Darya Ganj
58,Jamia Nagar,Jamia Nagar,Delhi,Delhi,South East,Kalkaji,New Friends Colony
59,JanakPuri,Janak Puri,Delhi,Delhi,West,Rajouri Garden,Rajouri Garden
60,IG/Airport,I.G.I. Airport,Delhi,Delhi,South west,Delhi Cantt.,I.G.I. Airport
61,Jyoti Nagar,Jyoti Nagar,Delhi,Delhi,North East,Bhajanpura,Gokul Puri
62,K.N katju Marg,K.N. Katju Marg,Delhi,Delhi,Rohini,Rohini,Prashant Vihar
63,Kalindi Kunj,Kalindi Kunj,Delhi,Delhi,South East,Sarita Vihar,Sarita Vihar
64,Kalkaji,Kalkaji,Delhi,Delhi,South East,Kalkaji,Kalkaji
65,KalyanPuri,Kalyan Puri,Delhi,Delhi,East District,Kalyan Puri,Kalyan Puri
66,Kamla Market,Kamla Market,Delhi,Delhi,Central,Kamla Market,Kamla Market
67,Kanjhawala,Kanjhawala,Delhi,Delhi,Rohini,Begum Pur,Begum Pur
68,Kapashera,Kapashera,Delhi,Delhi,South west,Vasant Kunj,Vasant Kunj
69,Karawal Nagar,Karawal Nagar,Delhi,Delhi,North East,KhajuriKhas,KhajuriKhas
70,Karol Bagh,Karol Bagh,Delhi,Delhi,Central,Patel Nagar,Karol Bagh
71,Kashmere Gate,Kashmere Gate,Delhi,Delhi,North,Kotwali,Kotwali
72,Keshav Puram,Keshav Puram,Delhi,Delhi,North West,Ashok Vihar,Ashok Vihar
73,KhajuriKhas,Khajoori Khas,Delhi,Delhi,North East,KhajuriKhas,KhajuriKhas
74,Khyala,Khyala,Delhi,Delhi,West,Rajouri Garden,Tilak Nagar
75,Kirti Nagar,Kirti Nagar,Delhi,Delhi,West,Punjabi Bagh,Punjabi Bagh
76,KishanGarh,KishanGarh,Delhi,Delhi,South west,Vasant Kunj,Safdarjung Enclave
77,Kotla Mubarak Pur,Kotla Mubarakpur,Delhi,Delhi,South,Hauz Khas,Defence Colony
78,Kotwali,Kotwali,Delhi,Delhi,North,Kotwali,Kotwali
79,Krishna Nagar,Krishna Nagar,Delhi,Delhi,Shahdara,Gandhi Nagar,Gandhi Nagar
80,Lahori Gate,Lahori Gate,Delhi,Delhi,North,Kotwali,Kotwali
81,Lajpat Nagar,Lajpat Nagar,Delhi,Delhi,South East,Kalkaji,Lajpat Nagar
82,LaxmiNagar,Laxmi Nagar,Delhi,Delhi,East District,Preet Vihar,Preet Vihar
83,Lodhi Colony,Lodhi Colony,Delhi,Delhi,South,Hauz Khas,Defence Colony
84,Mansarover Park,Mansarovar Park,Delhi,Delhi,Shahdara,Shahdara,Seema Puri
85,Malviya Nagar,Malviya Nagar,Delhi,Delhi,South,Hauz Khas,Hauz Khas
86,MadhuVihar,Madhu Vihar,Delhi,Delhi,East District,Preet Vihar,Madhu Vihar
87,Mahendra Park,Mahendra Park,Delhi,Delhi,North West,Shalimar Bagh,Shalimar Bagh
88,MaidanGarhi,Maidan Garhi,Delhi,Delhi,South,Mehrauli,Mehrauli
89,Mandawali,Mandawali,Delhi,Delhi,East District,Kalyan Puri,Mayur Vihar
90,Mandir Marg,Mandir Marg,Delhi,Delhi,New Delhi,Connaught Place,Connaught Place
91,MangolPuri,Mangol Puri,Delhi,Delhi,Outer,Mangol Puri,Mangol Puri
92,Maurice Nagar,Maurice Nagar,Delhi,Delhi,North,Civil Lines,Civil Lines
93,Maurya Enclave,Maurya Enclave,Delhi,Delhi,North West,Shalimar Bagh,Subhash Palace
94,MayurVihar,Mayur Vihar,Delhi,Delhi,East District,Kalyan Puri,Mayur Vihar
95,Maya Puri,Mayapuri,Delhi,Delhi,West,Punjabi Bagh,Mayapuri
96,Mehrauli,Mehrauli,Delhi,Delhi,South,Mehrauli,Mehrauli
97,Model Town,Model Town,Delhi,Delhi,North West,Ashok Vihar,Model Town
98,Mohan Garden,Mohan Garden,Delhi,Delhi,Dwarka,Najafgarh,Najafgarh
99,Mukherji Nagar,Mukherjee Nagar,Delhi,Delhi,North West,Ashok Vihar,Model Town
100,Mundka,Mundka,Delhi,Delhi,Outer,Nangloi,Nangloi
101,Nabi Karim,Nabi Karim,Delhi,Delhi,Central,Patel Nagar,Pahar Ganj
102,Najafgarh,Najafgarh,Delhi,Delhi,Dwarka,Najafgarh,Najafgarh
103,NandNagari,Nand Nagari,Delhi,Delhi,North East,Bhajanpura,Nand Nagari
104,Nangloi,Nangloi,Delhi,Delhi,Outer,Nangloi,Nangloi
105,Naraina,Naraina,Delhi,Delhi,West,Punjabi Bagh,Mayapuri
106,Narela,Narela,Delhi,Delhi,Outer North,Bawana,Narela
107,Narelalnd. Area,Narela lnd. Area,Delhi,Delhi,Outer North,Bawana,Narela
108,Neb Sarai,Neb Sarai,Delhi,Delhi,South,Mehrauli,Sangam Vihar
