PS_ID,PS_Name,PS_State,PS_Dist
138,Ranjit Nagar,Delhi,Delhi
139,Roop Nagar,Delhi,Delhi
140,Sabzi Mandi,Delhi,Delhi
141,Sadar Bazar,Delhi,Delhi
142,Safdarjung Enclave,Delhi,Delhi
143,Sagar Pur,Delhi,Delhi
144,SamayPurBadli,Delhi,Delhi
145,SangamVihar,Delhi,Delhi
146,SangamVihar,Delhi,Delhi
147,Sarai Rohilla,Delhi,Delhi
148,Sarita Vihar,Delhi,Delhi
149,Sarojini Nagar,Delhi,Delhi
150,Sector-23 Dwarka,Delhi,Delhi
151,Seelampur,Delhi,Delhi
152,Seema Puri,Delhi,Delhi
153,Shahbad Dairy,Delhi,Delhi
154,Shahdara,Delhi,Delhi
155,ShaheenBagh,Delhi,Delhi
156,ShakarPur,Delhi,Delhi
157,Shalimar Bagh,Delhi,Delhi
158,Shastri Park,Delhi,Delhi
159,Sonia Vihar,Delhi,Delhi
160,South Avenue,Delhi,Delhi
161,South Campus,Delhi,Delhi
162,South Rohini,Delhi,Delhi
163,Subhash Place,Delhi,Delhi
164,Sultan Puri,Delhi,Delhi
165,Sunlight Colony,Delhi,Delhi
166,Swarup Nagar,Delhi,Delhi
167,TilakMarg,Delhi,Delhi
168,Tigri,Delhi,Delhi
169,Tilak Nagar,Delhi,Delhi
170,TimarPur,Delhi,Delhi
171,Tughlak Road,Delhi,Delhi
172,UttamNagar,Delhi,Delhi
173,Vasant Kunj (North),Delhi,Delhi
174,Vasant Kunj (South),Delhi,Delhi
175,Vasant Vihar,Delhi,Delhi
176,Vijay Vihar,Delhi,Delhi
177,Vivek Vihar,Delhi,Delhi
178,Wazirabad,Delhi,Delhi
179,Welcome,Delhi,Delhi
180,Moti Nagar,Delhi,Delhi
181,Saket,Delhi,Delhi
182,Harsh Vihar,Delhi,Delhi
183,Vikaspuri,Delhi,Delhi
184,Paharganj,Delhi,Delhi
