Auto_Date,Auto_Time,Vehicle_ID,Crash_ID,Vehicle_Type,Impacting_VehOrObject,Veh_Reg_Number,Veh_Make,Veh_Model,Veh_Model_Year,Veh_TrafficViolation,Veh_Manoeuvre_at_Crash,Veh_Loading_Condition,Veh_Mechanical_Failure,Veh_Hazardous_Cargo,Vehicle_Fire,Veh_Disposition,Combo48
05-Sep-22,01:42 PM,2345,1504,Two-Axle Medium Commercial Vehicle,Pedestrian,DL 1LK 1226,,,,,,,,,,,
05-Sep-22,01:42 PM,2346,1505,MTW - Motorcycle Light,Other Road Infrastructure,DL 11SG 3018,,,,,,,,,,,
05-Sep-22,01:42 PM,2347,1506,MTW - Scooter/Moped,Unknown,DL 11SW 6900,,,,,,,,,,,
05-Sep-22,01:42 PM,2348,1506,Unknown,MTW - Scooter/Moped,,,,,,,,,,,,
05-Sep-22,01:42 PM,2349,1507,E-rickshaw,"Car - Van, Passenger",DL 11ER 5198,,,,,,,,,,,
05-Sep-22,01:42 PM,2350,1507,"Car - Van, Passenger",Others,DL 4CND2719,,,,,,,,,,,
05-Sep-22,01:42 PM,2351,1508,MTW - Motorcycle Light,Unknown,DL 11SB 8317,,,,,,,,,,,
05-Sep-22,01:42 PM,2352,1508,Unknown,MTW - Motorcycle Light,,,,,,,,,,,,
05-Sep-22,01:42 PM,2353,1509,MTW - Motorcycle Light,Pedestrian,DL 11SB 3488,,,,,,,,,,,
05-Sep-22,01:42 PM,2354,1510,MTW - Motorcycle Light,Pedestrian,,,,,,,,,,,,
05-Sep-22,01:42 PM,2355,1511,Light Commercial Vehicle,Others,DL 21N 3742,,,,,,,,,,,
05-Sep-22,01:42 PM,2356,1512,"Car - Van, Passenger",Pedestrian,DL 8CAH 4842,,,,,,,,,,,
05-Sep-22,01:42 PM,2357,1513,Two_Axle Heavy Commercial Vehicle,MTW - Motorcycle Light,HR 38W 2230,,,,,,,,,,,
05-Sep-22,01:42 PM,2358,1513,MTW - Motorcycle Light,Two_Axle Heavy Commercial Vehicle,DL 11SQ 5052,,,,,,,,,,,
05-Sep-22,01:42 PM,2359,1514,Unknown,Pedestrian,,,,,,,,,,,,
05-Sep-22,01:42 PM,2360,1515,MTW - Scooter/Moped,Pedestrian,DL 8SCC 2794,,,,,,,,,,,
05-Sep-22,01:42 PM,2361,1516,"Car - Van, Passenger",Others,HR 79A 3143,,,,,,,,,,,
05-Sep-22,01:42 PM,2362,1516,E-rickshaw,"Car - Van, Passenger",DL 11ER 0142,,,,,,,,,,,
05-Sep-22,01:42 PM,2363,1517,MTW - Motorcycle Light,Unknown,DL 11SR 7335,,,,,,,,,,,
05-Sep-22,01:42 PM,2364,1517,Unknown,MTW - Motorcycle Light,,,,,,,,,,,,
