Auto_Date,Auto_Time,Vehicle_ID,Crash_ID,Vehicle_Type,Impacting_VehOrObject,Veh_Reg_Number,Veh_Make,Veh_Model,Veh_Model_Year,Veh_TrafficViolation,Veh_Manoeuvre_at_Crash,Veh_Loading_Condition,Veh_Mechanical_Failure,Veh_Hazardous_Cargo,Vehicle_Fire,Veh_Disposition,Combo48
05-Sep-22,01:40 PM,2292,1461,Truck (Generic),Pedestrian,HR 74A 6443,,,,,,,,,,,
05-Sep-22,01:40 PM,2293,1462,Bus (DTC Delhi),Pedestrian,DL 1PC 1531,,,,,,,,,,,
05-Sep-22,01:40 PM,2294,1463,Unknown,Pedestrian,,,,,,,,,,,,
05-Sep-22,01:40 PM,2295,1464,MTW - Scooter/Moped,Unknown,DL 8SBC 9325,,,,,,,,,,,
05-Sep-22,01:40 PM,2296,1465,Truck (Generic),Pedestrian,HR 55X 1232,,,,,,,,,,,
05-Sep-22,01:40 PM,2297,1466,MTW - Motorcycle Light,Pedestrian,DL 9TC 1831,,,,,,,,,,,
05-Sep-22,01:40 PM,2298,1467,Mini Bus,MTW - Motorcycle Light,DL 1PC 1477,,,,,,,,,,,
05-Sep-22,01:40 PM,2299,1467,MTW - Motorcycle Light,Mini Bus,DL 7SAU 3908,,,,,,,,,,,
05-Sep-22,01:40 PM,2300,1468,MTW - Scooter/Moped,Truck (Generic),DL 8SCM 1053,,,,,,,,,,,
05-Sep-22,01:40 PM,2301,1469,Unknown,Pedestrian,,,,,,,,,,,,
05-Sep-22,01:40 PM,2302,1470,MTW - Scooter/Moped,Unknown,DL 6SAR 1856,,,,,,,,,,,
05-Sep-22,01:40 PM,2303,1471,Bus (DTC Delhi),Pedestrian,DL 1PC 8784,,,,,,,,,,,
05-Sep-22,01:40 PM,2304,1472,Unknown,Pedestrian,,,,,,,,,,,,
05-Sep-22,01:40 PM,2305,1473,Truck (Generic),Others,HR 38AA 1959,,,,,,,,,,,
05-Sep-22,01:40 PM,2306,1474,Three Wheeler - Passenger,Unknown,DL 1RM 8358,,,,,,,,,,,
05-Sep-22,01:40 PM,2308,1475,Truck (Generic),Pedestrian,RJ 11GA 9180,,,,,,,,,,,
05-Sep-22,01:40 PM,2309,1476,MTW - Scooter/Moped,Unknown,DL 8SBC 3936,,,,,,,,,,,
05-Sep-22,01:40 PM,2310,1477,Car - Commercial,Pedestrian,DL 12CL 0227,,,,,,,,,,,
05-Sep-22,01:40 PM,2311,1478,Truck (Generic),Light Commercial Vehicle,HR 55H 1288,,,,,,,,,,,
05-Sep-22,01:40 PM,2312,1478,Light Commercial Vehicle,Truck (Generic),DL 1LV 9287,,,,,,,,,,,
05-Sep-22,01:40 PM,2313,1479,Unknown,Pedestrian,,,,,,,,,,,,
05-Sep-22,01:40 PM,2314,1480,Unknown,Pedestrian,,,,,,,,,,,,
05-Sep-22,01:40 PM,2315,1481,Car - Commercial,Pedestrian,DL 8CAN 6110,,,,,,,,,,,
05-Sep-22,01:40 PM,2316,1482,Truck (Generic),MTW - Motorcycle Light,HR 55S 3374,,,,,,,,,,,
05-Sep-22,01:40 PM,2317,1482,MTW - Motorcycle Light,Truck (Generic),HR 10E 5032,,,,,,,,,,,
05-Sep-22,01:40 PM,2318,1482,MTW - Motorcycle Heavy,Unknown,DL 11S 6664,,,,,,,,,,,
05-Sep-22,01:40 PM,2319,1483,Truck (Generic),Pedestrian,,,,,,,,,,,,
05-Sep-22,01:40 PM,2320,1484,MTW - Motorcycle Light,Pedestrian,DL SSAJ 3196,,,,,,,,,,,
05-Sep-22,01:40 PM,2321,1485,Car - Commercial,Three Wheeler - Passenger,DL 7CQ 8340,,,,,,,,,,,
05-Sep-22,01:40 PM,2322,1485,Three Wheeler - Passenger,Car - Commercial,DL 1LJ 3307,,,,,,,,,,,
05-Sep-22,01:40 PM,2323,1486,MTW - Motorcycle Light,Unknown,DL 8SNC 5869,,,,,,,,,,,
05-Sep-22,01:40 PM,2324,1487,Car - Commercial,Tree,DL 3CAQ 0212,,,,,,,,,,,
05-Sep-22,01:40 PM,2325,1488,Truck (Generic),Pedestrian,DL 1LT 5428,,,,,,,,,,,
05-Sep-22,01:40 PM,2326,1488,Truck (Generic),Truck (Generic),PB 11AX 8791,,,,,,,,,,,
05-Sep-22,01:40 PM,2327,1489,MTW - Scooter/Moped,Not Applicable,DL 65AH 6886,,,,,,,,,,,
05-Sep-22,01:40 PM,2328,1490,Unknown,Pedestrian,,,,,,,,,,,,
05-Sep-22,01:40 PM,2329,1491,MTW - Motorcycle Light,Cycle Rickshaw,HR 10M 2845,,,,,,,,,,,
05-Sep-22,01:40 PM,2330,1492,Unknown,Pedestrian,,,,,,,,,,,,
05-Sep-22,01:40 PM,2331,1493,Truck (Generic),Pedestrian,UP 83BT 3753,,,,,,,,,,,
05-Sep-22,01:40 PM,2332,1494,MTW - Motorcycle Light,Unknown,DL 11SM 4695,,,,,,,,,,,
05-Sep-22,01:40 PM,2333,1495,Light Commercial Vehicle,Pedestrian,DL 1LP 5545,,,,,,,,,,,
05-Sep-22,01:40 PM,2334,1496,Unknown,Pedestrian,,,,,,,,,,,,
05-Sep-22,01:40 PM,2335,1497,Unknown,Pedestrian,,,,,,,,,,,,
05-Sep-22,01:40 PM,2336,1498,Three Wheeler - Passenger,Unknown,DL 1RS 4896,,,,,,,,,,,
